audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__1048,1,1048,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xd171f09c7e4432e42e92fecf3f8626d54a91f9c8,,0xd171f09c7e4432e42e92fecf3f8626d54a91f9c8,0x2b26be2205b6db24855d3076bf207376cb832649fa9f1cb5d353589bfe385b49,20,1,0x0162e2d0,,,,,0xf6f21c63eda4675d51e45daf5929637c2d30eda131535efeeb3bdc93c63d4ce7,21,0,0x0162e2d0,1071582817743526,0.001071582817743526,121200000000000000,1,"{""0xabe426befb9aa2acc1ef53adc431366ac33f343b"":1540000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x2b26be2205b6db24855d3076bf207376cb832649fa9f1cb5d353589bfe385b49,,https://etherscan.io/tx/0xf6f21c63eda4675d51e45daf5929637c2d30eda131535efeeb3bdc93c63d4ce7
semantic__displacement__2684,1,2684,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.957.,,,0xd4f11b5f55c20fc71c4d533d1d4c1106747a9772,,0xd4f11b5f55c20fc71c4d533d1d4c1106747a9772,0x50733d6da968679f970dcc5206a168319d0d597f7c3472454e5c5b7400141920,56,1,0xe7acab24,,,,,0xd2f3def9d38c25f26a9e551bb26fcbef0c9949c9c83bcde5fc040434c574abbf,57,0,0xe7acab24,2916244983278147,0.002916244983278147,10000000000000000,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x50733d6da968679f970dcc5206a168319d0d597f7c3472454e5c5b7400141920,,https://etherscan.io/tx/0xd2f3def9d38c25f26a9e551bb26fcbef0c9949c9c83bcde5fc040434c574abbf
semantic__displacement__5439,1,5439,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0xb96b74874126a787720a464eab3fbd2f35a5d14e,,0xb96b74874126a787720a464eab3fbd2f35a5d14e,0xfb45b60d770a0d023aab5be0ec006f5dc6455bbee177edd80115a5d4e3b0329f,57,1,0x2e378115,,,,,0xd457428ebd4d2ff29299fdff28bcecc9754902ec341cc26db3a594358c0a9e04,58,0,0x2e378115,216495459124785,0.000216495459124785,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-3899435071784264}",-3899435071784264,-0.003899435071784264,-4115930530909049,-0.004115930530909049,no_weth_surplus_after_gas,https://etherscan.io/tx/0xfb45b60d770a0d023aab5be0ec006f5dc6455bbee177edd80115a5d4e3b0329f,,https://etherscan.io/tx/0xd457428ebd4d2ff29299fdff28bcecc9754902ec341cc26db3a594358c0a9e04
semantic__displacement__5480,1,5480,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.933.,,,0x15652636f3898f550b257b89926d5566821c32e1,,0x15652636f3898f550b257b89926d5566821c32e1,0xbb55547c746b7e02d0d7a075fba12aaf7588b51ea550312c808e08245d70ef99,64,1,0x2e378115,,,,,0x5e8cc8b9559f05e336965049c9c8dffa71918466d2d15aaa9376869ba5bc4574,65,0,0x2e378115,261992240260674,0.000261992240260674,0,1,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":-23008746}",,,,,requires_token_valuation,https://etherscan.io/tx/0xbb55547c746b7e02d0d7a075fba12aaf7588b51ea550312c808e08245d70ef99,,https://etherscan.io/tx/0x5e8cc8b9559f05e336965049c9c8dffa71918466d2d15aaa9376869ba5bc4574
semantic__displacement__5794,1,5794,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.933.,,,0xef1ec136931ab5728b0783fd87d109c9d15d31f1,,0xef1ec136931ab5728b0783fd87d109c9d15d31f1,0x018a4c841df100e4b364c121286e83d51d59d9b7dc497844a3ada290243e2f09,48,1,0x2e378115,,,,,0x3c7005436163f3d5da027869582c9c0d1cbf68b5244b88ff35596cf5e055ef18,49,0,0x2e378115,767543175914859,0.000767543175914859,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-1912735535897855470}",-1912735535897855470,-1.912735535897855499,-1913503079073770329,-1.913503079073770374,no_weth_surplus_after_gas,https://etherscan.io/tx/0x018a4c841df100e4b364c121286e83d51d59d9b7dc497844a3ada290243e2f09,,https://etherscan.io/tx/0x3c7005436163f3d5da027869582c9c0d1cbf68b5244b88ff35596cf5e055ef18
semantic__displacement__6621,1,6621,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x06d50552c345cb240856f69fcf35fb55c1a7a608,,0x06d50552c345cb240856f69fcf35fb55c1a7a608,0x871c20d51b54d3bdfcce9ba72f5c1ac651f1fe7cffc785751293b5ec7b8c0320,19,1,0x0162e2d0,,,,,0xf3be73213858d13add8677fbd000f4d2f3686d931cfdff3222c50959035ecb46,20,0,0x0162e2d0,219256529075145,0.000219256529075145,121200000000000000,1,"{""0xac94c09b8162a72d667979285b081582cca8ff84"":1540000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x871c20d51b54d3bdfcce9ba72f5c1ac651f1fe7cffc785751293b5ec7b8c0320,,https://etherscan.io/tx/0xf3be73213858d13add8677fbd000f4d2f3686d931cfdff3222c50959035ecb46
semantic__displacement__9611,1,9611,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0x1b59718eafa2bffe5318e07c1c3cb2edde354f9c,,0x1b59718eafa2bffe5318e07c1c3cb2edde354f9c,0xea945d05a855e8420b564f937c5ccf22d22374eca806200d79e3c1ce321d067f,42,1,0xdeff4b24,,,,,0x346f39169d423dfc3ec4217d640f8dc35b4bb20777c6e2f96098aa8e75184a69,43,0,0xdeff4b24,104083323148000,0.000104083323148000,0,1,"{""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"":-29586}",,,,,requires_token_valuation,https://etherscan.io/tx/0xea945d05a855e8420b564f937c5ccf22d22374eca806200d79e3c1ce321d067f,,https://etherscan.io/tx/0x346f39169d423dfc3ec4217d640f8dc35b4bb20777c6e2f96098aa8e75184a69
semantic__displacement__12123,1,12123,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x27a88b171945401efd6852f113e38defe224843c,,0x27a88b171945401efd6852f113e38defe224843c,0x530bf0e5360dea8b8821d10ccb6dbaec132468827b72513657c379430f855b35,27,1,0x0162e2d0,,,,,0xbea017ea20868ec4eea19b965ee52544835cb6d4e1589e3b1c69f6ce320df510,28,0,0x0162e2d0,691173935768280,0.000691173935768280,105100000000000000,1,"{""0x55dc855dd90a2d1b2e5f5b0b69854556b9ac3623"":18000000000000000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x530bf0e5360dea8b8821d10ccb6dbaec132468827b72513657c379430f855b35,,https://etherscan.io/tx/0xbea017ea20868ec4eea19b965ee52544835cb6d4e1589e3b1c69f6ce320df510
semantic__displacement__15408,1,15408,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0xeff7337b37c8d217d01cb8223fe497abd75190d5,,0xeff7337b37c8d217d01cb8223fe497abd75190d5,0xbc2d4ba827f57b24f7943a8254ea8d4339ae736a379b7849ba03f46ec52afe44,96,1,0xdeff4b24,,,,,0x55f92b22cef93dd17344d281285c4b6cd9d7d021d7bb16d0b80a5628ab6fba55,97,0,0xdeff4b24,164568069275302,0.000164568069275302,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-3795138775168787}",-3795138775168787,-0.003795138775168787,-3959706844444089,-0.003959706844444089,no_weth_surplus_after_gas,https://etherscan.io/tx/0xbc2d4ba827f57b24f7943a8254ea8d4339ae736a379b7849ba03f46ec52afe44,,https://etherscan.io/tx/0x55f92b22cef93dd17344d281285c4b6cd9d7d021d7bb16d0b80a5628ab6fba55
semantic__displacement__15494,1,15494,independent_sampled__validacao_2025_pre_pectra,validacao_2025_pre_pectra,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x3daba1a7508c9de6039fcfda35b5c6d1c103c68f,,0x3daba1a7508c9de6039fcfda35b5c6d1c103c68f,0x02f2243102dc3fa34a14ee90bf54f4fc3e4a7affe4d315d514d957a5d40496e8,136,1,0xc9807539,,,,,0x5c7b91ce1f4e1f4acdd71dc774987bcd0ad6cdcdded021b85ef9930efc59c478,137,0,0xc9807539,745913867594130,0.000745913867594130,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x02f2243102dc3fa34a14ee90bf54f4fc3e4a7affe4d315d514d957a5d40496e8,,https://etherscan.io/tx/0x5c7b91ce1f4e1f4acdd71dc774987bcd0ad6cdcdded021b85ef9930efc59c478
