split,tx_hash,roles,attack_types,event_keys,event_count,strict_label,strict_conflict,sensitivity_label,sensitivity_conflict,reference_scope
estresse_pre_dencun_2024,0x005eac07f909c3fc06cdfbad4ec486c15190c7eb6845a8fe75df47144105aa2e,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__8454,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x00ae09cf1fd5cfa2e1c8678ab0f85fc363011949fb58a10a1d2fce45b8c43b49,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4911,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x00bfd9796db6338d7f8b0f3cfae833c0ddc662da51c65c633e626a85dcb0c2bc,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__940,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x00c2738174e395a1476e4c1bbc0f6721718f2237ecbdcfc91803a6b5da150fc4,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__5148,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x00df5011278bc38a9f6c316a4c118e6aa795c7d706058376bd42d40165cc69d8,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2066|estresse_pre_dencun_2024::semantic__displacement__2068,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x00f6d35aa84edeb19fddd37b6d2c5525b8e28a97d2d0da3f191fb0fc7d8ab67d,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__5170,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0113139f38c925d68e72dc07d157bec3d2a39e55b8e63ad9e143be5dbb8a8604,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__5166,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x013ae9a6b3c7e1816896896776fa24581efcf06a95479c69ab8096759ae42ca2,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3464,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0144fa6b9ea8ab79d85e2d291008eafdaa0bcc2df3b5973c6b67698c74e0d1be,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6943,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x014cfd5a4636538fbca9122e4d5c50267605e80461fb2b20549bad02a57b5d40,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__373,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0176e2b6ea42d4ddc63a535023bd587013bcced9acf34446d4e04a5ecf46bca4,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6989,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x018007421a301180a709b12f0437a3bb89f6a85fa4c4c5bd12fe56c56e398168,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2142|estresse_pre_dencun_2024::semantic__displacement__2144,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x01d18a85365a8e4dff228a2b6920f1e4fa3bb2484b436f877423fc096d13c7e8,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__2675,1,0,0,0,0,semantic_event_roles_only
