audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__4769,1,4769,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x07326bf7582b7aa3003c5fa3b042659ea80e487c,,0x07326bf7582b7aa3003c5fa3b042659ea80e487c,0x370fcf8e8843c44e27db49d229552b94d4a88e7ff910e87113444032bd2a93b6,15,1,0x0162e2d0,,,,,0x63a073c523033bf935f18b701cd8304785e6a4b18833d7894746346a66a8bce3,16,0,0x0162e2d0,259080101173116,0.000259080101173116,77900000000000000,1,"{""0xe89b90fcdb94ede8e60435380a108bf836da51f7"":6650805118871091278}",,,,,requires_token_valuation,https://etherscan.io/tx/0x370fcf8e8843c44e27db49d229552b94d4a88e7ff910e87113444032bd2a93b6,,https://etherscan.io/tx/0x63a073c523033bf935f18b701cd8304785e6a4b18833d7894746346a66a8bce3
semantic__insertion__3,2,3,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42|0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xb335b2205195c9a20e9b0bebaa7ebb388f5d3ffbb21ee9af8d415e13d0529c06,12,1,0x006812c3,0x0d460d05ae29f73643e3ffa507fd95681a407d0a300e35e44abed592c62433c7,14,1,0x016812c3,0x83b44cb327fc81066dbd9989024ab5c9d7a739649e06b63849c26e5fca46157d,13,1,0x2213bc0b,2866395489747817,0.002866395489747817,0,4,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":1,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":3154657950990842}",3154657950990842,0.003154657950990842,288262461243025,0.000288262461243025,mixed_assets_requires_valuation,https://etherscan.io/tx/0xb335b2205195c9a20e9b0bebaa7ebb388f5d3ffbb21ee9af8d415e13d0529c06,https://etherscan.io/tx/0x0d460d05ae29f73643e3ffa507fd95681a407d0a300e35e44abed592c62433c7,https://etherscan.io/tx/0x83b44cb327fc81066dbd9989024ab5c9d7a739649e06b63849c26e5fca46157d
semantic__insertion__141,2,141,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x9f18a29ac2bc7b119233ac2787f92dd45ad2c0c433e18992edab3f779ee801e0,27,1,0x2b60e055,0x8182d1961cb7309a80d9c0ceb7d16c82bf82b78cbac22f0ea421d318ad33d938,29,1,0x2b66e055,0x90d1fbb4b425c11beadbb85632144cd246c328d1b07492958793bd2c78bd1240,28,1,0xac9650d8,3868179823279968,0.003868179823279968,70,13,"{""0x72e4f9f808c49a2a61de9c5896298920dc4eeea9"":256,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":6335974,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":13339715046923315,""0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c"":451}",13339715046923315,0.013339715046923314,9471535223643347,0.009471535223643347,mixed_assets_requires_valuation,https://etherscan.io/tx/0x9f18a29ac2bc7b119233ac2787f92dd45ad2c0c433e18992edab3f779ee801e0,https://etherscan.io/tx/0x8182d1961cb7309a80d9c0ceb7d16c82bf82b78cbac22f0ea421d318ad33d938,https://etherscan.io/tx/0x90d1fbb4b425c11beadbb85632144cd246c328d1b07492958793bd2c78bd1240
semantic__insertion__171,2,171,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0xd3e63dea227740825a055036c7bd5a1dac78e0781db181cf3c12caa01cc512af,0,1,0x2bd0a0b8,0x38b19ccc95343e35f86e531b904214ec8ca56ce736b7defbb34fc40d0ac064ce,2,1,0x2b78e055,0xad9dbbe6fe36e4812469a566bf8f9ea43cb773561aa60c2eee02cdb1ed1fd06a,1,1,0xe3ead59e,19912145451817503,0.019912145451817503,470,19,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":36760632,""0xa250cc729bb3323e7933022a67b52200fe354767"":0,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-477373568742271800,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1}",-477373568742271800,-0.477373568742271825,-497285714194089303,-0.497285714194089290,mixed_assets_requires_valuation,https://etherscan.io/tx/0xd3e63dea227740825a055036c7bd5a1dac78e0781db181cf3c12caa01cc512af,https://etherscan.io/tx/0x38b19ccc95343e35f86e531b904214ec8ca56ce736b7defbb34fc40d0ac064ce,https://etherscan.io/tx/0xad9dbbe6fe36e4812469a566bf8f9ea43cb773561aa60c2eee02cdb1ed1fd06a
semantic__insertion__190,2,190,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xb2e9bdec5db00e64d7c683a1fcd3bdf29e04305b,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x35862a31f5af3ed0efc9dea9eae3d6e07964ed943a070eaacac0115a79a6167b,32,1,0x2b95b2e9,0x09308389163dc0449a88a85560e9b00510f03fbd4f7eabaab299ab6bb3c1ce8e,34,1,0x2b66b2e9,0xe0d6af950204e40a82551a7cc5b7e73aadbed48312c11ab9fbac389ebba5e04c,33,1,0xd808d889,2158755752656827,0.002158755752656827,102,13,"{""0x737d461917ccf0fa28a52da30672e2ddc214f0bf"":1281120570967768,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":11,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-443206953057910784,""0xdac17f958d2ee523a2206206994597c13d831ec7"":311726}",-443206953057910784,-0.443206953057910802,-445365708810567611,-0.445365708810567584,mixed_assets_requires_valuation,https://etherscan.io/tx/0x35862a31f5af3ed0efc9dea9eae3d6e07964ed943a070eaacac0115a79a6167b,https://etherscan.io/tx/0x09308389163dc0449a88a85560e9b00510f03fbd4f7eabaab299ab6bb3c1ce8e,https://etherscan.io/tx/0xe0d6af950204e40a82551a7cc5b7e73aadbed48312c11ab9fbac389ebba5e04c
semantic__insertion__264,2,264,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x6146be494fee4c73540cb1c5f87536abf1452500,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0xaecdcea325d43dd71bb9dd39aba7d210d5c4cbbf7de1fbb6e95a746a7e981f4a,41,1,0x2bce6146,0x763b0cba83da5f6642496ec23abd40dbd98865439cfeaa33a47036163ddcf475,43,1,0x2bd06146,0x0e7b40300136d58144e11d2258dfa25521e5c555868277e94fb7997ed56649b3,42,1,0xeca2a317,869656563503865,0.000869656563503865,302,10,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":1442125,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":90847088219855,""0xdac17f958d2ee523a2206206994597c13d831ec7"":181}",90847088219855,0.000090847088219855,-778809475284010,-0.000778809475284010,mixed_assets_requires_valuation,https://etherscan.io/tx/0xaecdcea325d43dd71bb9dd39aba7d210d5c4cbbf7de1fbb6e95a746a7e981f4a,https://etherscan.io/tx/0x763b0cba83da5f6642496ec23abd40dbd98865439cfeaa33a47036163ddcf475,https://etherscan.io/tx/0x0e7b40300136d58144e11d2258dfa25521e5c555868277e94fb7997ed56649b3
semantic__insertion__292,2,292,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xb2e9bdec5db00e64d7c683a1fcd3bdf29e04305b,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x56aa821610317c31baa1fb4eac110cbca0ab2bc4917dd5f6aad7e62ebdaab034,14,1,0x2b95b2e9,0xd03ac65b630dec065c0b90068db6c6142e2b217a512c19c703f3f337ae4ec20f,16,1,0x2b66b2e9,0xfb96463acaed5878c24a58676a134675c79d571c0ddccb020aee61ee5de75486,15,1,0x83800a8e,1066204171605717,0.001066204171605717,486,9,"{""0x737d461917ccf0fa28a52da30672e2ddc214f0bf"":1788706708054833,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-18758845962649600,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1251110}",-18758845962649600,-0.018758845962649599,-19825050134255317,-0.019825050134255316,mixed_assets_requires_valuation,https://etherscan.io/tx/0x56aa821610317c31baa1fb4eac110cbca0ab2bc4917dd5f6aad7e62ebdaab034,https://etherscan.io/tx/0xd03ac65b630dec065c0b90068db6c6142e2b217a512c19c703f3f337ae4ec20f,https://etherscan.io/tx/0xfb96463acaed5878c24a58676a134675c79d571c0ddccb020aee61ee5de75486
semantic__insertion__337,2,337,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v2,0x2c36baf14229a3d4d33b8e277f7f7430745b3e8e,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x00000000000947821264914ad2c75f871aa2d026|0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x410b32041253a1f9ec88971309e6f5b33133fd71d17a34b0a223b248d7ffd550,10,1,0x0400102c,0xb0f87c3693dd2f0822b671b58d503fecfb5a75b46626cc2b325b906e44a63441,12,1,0x0a000094,0x599bf2e52614afbb95b78f4358ffd079803445793f9f45fec90d76455f7a7c54,11,1,0x0dc4bdae,235720426495763,0.000235720426495763,192,4,"{""0x9447dd95f576fdf6ed8219fff45bd1362430b787"":1,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":236342232005534}",236342232005534,0.000236342232005534,621805509771,0.000000621805509771,mixed_assets_requires_valuation,https://etherscan.io/tx/0x410b32041253a1f9ec88971309e6f5b33133fd71d17a34b0a223b248d7ffd550,https://etherscan.io/tx/0xb0f87c3693dd2f0822b671b58d503fecfb5a75b46626cc2b325b906e44a63441,https://etherscan.io/tx/0x599bf2e52614afbb95b78f4358ffd079803445793f9f45fec90d76455f7a7c54
semantic__insertion__449,2,449,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xb2e9bdec5db00e64d7c683a1fcd3bdf29e04305b,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x3e769714561b0f39a0f051226e14a75f7ea502dd34e5fd7c1f9459025d90fc0d,1,1,0x2b95b2e9,0x577df08da210fc30ad9f4db4ac44aca8696381ebcb77de758f98cc06174ef846,3,1,0x2b66b2e9,0x1e0c20aefecc6ab8695c60d07c9d0d3a22aad59c24f8f14ab03a66c70243f17b,2,1,0xd808d889,3495117169343927,0.003495117169343927,478,4,"{""0x737d461917ccf0fa28a52da30672e2ddc214f0bf"":0,""0xdac17f958d2ee523a2206206994597c13d831ec7"":0}",,,,,requires_token_valuation,https://etherscan.io/tx/0x3e769714561b0f39a0f051226e14a75f7ea502dd34e5fd7c1f9459025d90fc0d,https://etherscan.io/tx/0x577df08da210fc30ad9f4db4ac44aca8696381ebcb77de758f98cc06174ef846,https://etherscan.io/tx/0x1e0c20aefecc6ab8695c60d07c9d0d3a22aad59c24f8f14ab03a66c70243f17b
semantic__insertion__488,2,488,independent_sampled__transicao_pectra_2025,transicao_pectra_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v2,0x88fcdd9cd5ee7e53ba452c45f7f704041df0b042,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1ab364d8fcf82e4840254294fbb4f8208eb4f01350c7478520c5bce1255e302d,15,1,0x2b69286f,0x402e4a8064b9284e59283a239982f7e8530b455cca14e221b6f9d52a53595642,17,1,0x2b95286f,0x8c8a2b610d3ea9e31de1ccdb9c824849b9ac1f679b70e18d82022315f0f6b625,16,1,0x8100fc13,1507732637034174,0.001507732637034174,246,4,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":2741971}",,,,,requires_token_valuation,https://etherscan.io/tx/0x1ab364d8fcf82e4840254294fbb4f8208eb4f01350c7478520c5bce1255e302d,https://etherscan.io/tx/0x402e4a8064b9284e59283a239982f7e8530b455cca14e221b6f9d52a53595642,https://etherscan.io/tx/0x8c8a2b610d3ea9e31de1ccdb9c824849b9ac1f679b70e18d82022315f0f6b625
