split,policy,attack_scope,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.01,5,5,1.0,0.018656716417910446,1.541044776119403
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.05,21,16,0.7619047619047619,0.05970149253731343,1.1741293532338308
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.1,42,25,0.5952380952380952,0.09328358208955224,0.9172885572139303
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,0.1,38,26,0.6842105263157895,0.10526315789473684,1.027700831024931
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,0.01,12,9,0.75,0.014705882352941176,1.349264705882353
estresse_pre_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,0.05,56,43,0.7678571428571429,0.07026143790849673,1.381390056022409
estresse_pre_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,0.1,111,81,0.7297297297297297,0.1323529411764706,1.312798092209857
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,AE,AE:a_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,AE,AE:a_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,AE,AE:a_completa,0.1,38,26,0.6842105263157895,0.10526315789473684,1.027700831024931
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,AE,AE:a_completa,0.01,8,4,0.5,0.010958904109589041,1.0
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,AE,AE:a_completa,0.05,37,24,0.6486486486486487,0.06575342465753424,1.2972972972972974
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,AE,AE:a_completa,0.1,73,49,0.6712328767123288,0.13424657534246576,1.3424657534246576
estresse_pre_dencun_2024,strict,all,a_completa,IF,IF:a_completa,0.01,5,3,0.6,0.011194029850746268,0.9246268656716418
estresse_pre_dencun_2024,strict,all,a_completa,IF,IF:a_completa,0.05,21,12,0.5714285714285714,0.04477611940298507,0.8805970149253731
estresse_pre_dencun_2024,strict,all,a_completa,IF,IF:a_completa,0.1,42,25,0.5952380952380952,0.09328358208955224,0.9172885572139303
estresse_pre_dencun_2024,strict,insertion,a_completa,IF,IF:a_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,a_completa,IF,IF:a_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,a_completa,IF,IF:a_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,strict,displacement,a_completa,IF,IF:a_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,IF,IF:a_completa,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,IF,IF:a_completa,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,a_completa,IF,IF:a_completa,0.01,12,7,0.5833333333333334,0.011437908496732025,1.0494281045751634
estresse_pre_dencun_2024,sensitivity,all,a_completa,IF,IF:a_completa,0.05,56,36,0.6428571428571429,0.058823529411764705,1.156512605042017
estresse_pre_dencun_2024,sensitivity,all,a_completa,IF,IF:a_completa,0.1,111,76,0.6846846846846847,0.12418300653594772,1.2317611729376436
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,IF,IF:a_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,IF,IF:a_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,IF,IF:a_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,IF,IF:a_completa,0.01,8,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,IF,IF:a_completa,0.05,37,12,0.32432432432432434,0.03287671232876712,0.6486486486486487
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,IF,IF:a_completa,0.1,73,32,0.4383561643835616,0.08767123287671233,0.8767123287671232
estresse_pre_dencun_2024,strict,all,b_completa,AE,AE:b_completa,0.01,5,4,0.8,0.014925373134328358,1.2328358208955223
estresse_pre_dencun_2024,strict,all,b_completa,AE,AE:b_completa,0.05,21,13,0.6190476190476191,0.048507462686567165,0.9539800995024876
estresse_pre_dencun_2024,strict,all,b_completa,AE,AE:b_completa,0.1,42,27,0.6428571428571429,0.10074626865671642,0.9906716417910448
estresse_pre_dencun_2024,strict,insertion,b_completa,AE,AE:b_completa,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,strict,insertion,b_completa,AE,AE:b_completa,0.05,19,12,0.631578947368421,0.048582995951417005,0.9486469209460899
estresse_pre_dencun_2024,strict,insertion,b_completa,AE,AE:b_completa,0.1,38,25,0.6578947368421053,0.10121457489878542,0.9881738759855104
estresse_pre_dencun_2024,strict,displacement,b_completa,AE,AE:b_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_completa,AE,AE:b_completa,0.05,3,2,0.6666666666666666,0.09523809523809523,1.3333333333333333
estresse_pre_dencun_2024,strict,displacement,b_completa,AE,AE:b_completa,0.1,5,2,0.4,0.09523809523809523,0.8
estresse_pre_dencun_2024,sensitivity,all,b_completa,AE,AE:b_completa,0.01,12,7,0.5833333333333334,0.011437908496732025,1.0494281045751634
estresse_pre_dencun_2024,sensitivity,all,b_completa,AE,AE:b_completa,0.05,56,30,0.5357142857142857,0.049019607843137254,0.9637605042016807
estresse_pre_dencun_2024,sensitivity,all,b_completa,AE,AE:b_completa,0.1,111,64,0.5765765765765766,0.10457516339869281,1.0372725666843314
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,AE,AE:b_completa,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,AE,AE:b_completa,0.05,19,12,0.631578947368421,0.048582995951417005,0.9486469209460899
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,AE,AE:b_completa,0.1,38,25,0.6578947368421053,0.10121457489878542,0.9881738759855104
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,AE,AE:b_completa,0.01,8,4,0.5,0.010958904109589041,1.0
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,AE,AE:b_completa,0.05,37,18,0.4864864864864865,0.049315068493150684,0.972972972972973
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,AE,AE:b_completa,0.1,73,38,0.5205479452054794,0.10410958904109589,1.0410958904109588
estresse_pre_dencun_2024,strict,all,b_completa,IF,IF:b_completa,0.01,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,all,b_completa,IF,IF:b_completa,0.05,21,8,0.38095238095238093,0.029850746268656716,0.5870646766169154
estresse_pre_dencun_2024,strict,all,b_completa,IF,IF:b_completa,0.1,42,25,0.5952380952380952,0.09328358208955224,0.9172885572139303
estresse_pre_dencun_2024,strict,insertion,b_completa,IF,IF:b_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,b_completa,IF,IF:b_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,b_completa,IF,IF:b_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,strict,displacement,b_completa,IF,IF:b_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_completa,IF,IF:b_completa,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_completa,IF,IF:b_completa,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,b_completa,IF,IF:b_completa,0.01,12,3,0.25,0.004901960784313725,0.4497549019607843
estresse_pre_dencun_2024,sensitivity,all,b_completa,IF,IF:b_completa,0.05,56,34,0.6071428571428571,0.05555555555555555,1.0922619047619047
estresse_pre_dencun_2024,sensitivity,all,b_completa,IF,IF:b_completa,0.1,111,78,0.7027027027027027,0.12745098039215685,1.264175940646529
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,IF,IF:b_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,IF,IF:b_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,IF,IF:b_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,IF,IF:b_completa,0.01,8,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,IF,IF:b_completa,0.05,37,11,0.2972972972972973,0.030136986301369864,0.5945945945945946
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,IF,IF:b_completa,0.1,73,31,0.4246575342465753,0.08493150684931507,0.8493150684931506
estresse_pre_dencun_2024,strict,all,c_completa,AE,AE:c_completa,0.01,5,3,0.6,0.011194029850746268,0.9246268656716418
estresse_pre_dencun_2024,strict,all,c_completa,AE,AE:c_completa,0.05,21,16,0.7619047619047619,0.05970149253731343,1.1741293532338308
