audit_id,detection_event_id,split,detector,semantic_status,manual_label,manual_type,evidence_quality,reason_codes,notes,reviewer,reviewed_at_utc
semantic__insertion__3,3,transicao_pectra_2025,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 3: índices 12 < 13 < 14, mesmo agente nas pernas externas, pool 0xe0554a476a092703abdb3ef35c80e0d76d32939f (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__displacement__6,6,transicao_pectra_2025,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 6: atacante no índice 32 antes da vítima no índice 33, mesmo seletor, similaridade de calldata 0.812 e pool comum 0x4ed1c897cd521ec624bbf5ea503e5c5a1cc47e9b. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__displacement__68,68,transicao_pectra_2025,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 68: atacante no índice 22 antes da vítima no índice 23, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x898384ff8731bc4b3a092f3aa229b5918e5472b5. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__insertion__91,91,transicao_pectra_2025,insertion,confirmed,confirmado,insertion,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 91: índices 4 < 5 < 6, mesmo agente nas pernas externas, pool 0xff70de5183aede4be2eff73efcc8ea2a8590229b (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.000000808 WETH após 0.008076827 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__insertion__141,141,transicao_pectra_2025,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 141: índices 27 < 28 < 29, mesmo agente nas pernas externas, pool 0xe0554a476a092703abdb3ef35c80e0d76d32939f (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__insertion__171,171,transicao_pectra_2025,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 171: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xe0554a476a092703abdb3ef35c80e0d76d32939f (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__insertion__190,190,transicao_pectra_2025,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 190: índices 32 < 33 < 34, mesmo agente nas pernas externas, pool 0xb2e9bdec5db00e64d7c683a1fcd3bdf29e04305b (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__displacement__226,226,transicao_pectra_2025,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 226: atacante no índice 9 antes da vítima no índice 10, mesmo seletor, similaridade de calldata 0.929 e pool comum 0x8ff7ab138ab68a49868f37843816145fa7bffa7f. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__displacement__227,227,transicao_pectra_2025,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 227: atacante no índice 8 antes da vítima no índice 9, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x8ff7ab138ab68a49868f37843816145fa7bffa7f. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
semantic__displacement__229,229,transicao_pectra_2025,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 229: atacante no índice 11 antes da vítima no índice 12, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x8ff7ab138ab68a49868f37843816145fa7bffa7f. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:06.647956+00:00
