audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__1955,1,1955,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0x852f57dd17edbb0bedae8c55dd4b20feb3133089,,0x852f57dd17edbb0bedae8c55dd4b20feb3133089,0x70a436463c873b74cc143c270cac30ed2ebcfb6cb5745f2588381fac06a1f123,96,1,0xdeff4b24,,,,,0xec73cf114de23d2b5a5d5b43ff76f57d93a110a36ad9caa90e6d6912f9f247e1,97,0,0xdeff4b24,57163673921982,0.000057163673921982,0,1,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":-225996651}",,,,,requires_token_valuation,https://etherscan.io/tx/0x70a436463c873b74cc143c270cac30ed2ebcfb6cb5745f2588381fac06a1f123,,https://etherscan.io/tx/0xec73cf114de23d2b5a5d5b43ff76f57d93a110a36ad9caa90e6d6912f9f247e1
semantic__displacement__6571,1,6571,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.854.,,,0x54665e42c6c63f1a813b0b1d3a7f60b553fef963,,0x54665e42c6c63f1a813b0b1d3a7f60b553fef963,0x7253580d543df765b7841b27bf6595001833692ac86f6b5176bb8c3e3fa35cb4,114,1,0xf2c42696,,,,,0xbec6e0713e2df8e4c41b602fe3734c0abdc04d7675351c08fc1e4452e95d21b7,115,0,0xf2c42696,31925674812800,0.000031925674812800,0,7,"{""0x7cf9a80db3b29ee8efe3710aadb7b95270572d47"":-8000000000,""0xdac17f958d2ee523a2206206994597c13d831ec7"":649970838}",,,,,requires_token_valuation,https://etherscan.io/tx/0x7253580d543df765b7841b27bf6595001833692ac86f6b5176bb8c3e3fa35cb4,,https://etherscan.io/tx/0xbec6e0713e2df8e4c41b602fe3734c0abdc04d7675351c08fc1e4452e95d21b7
semantic__displacement__7450,1,7450,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x74cae0ecc47b02ed9b9d32e000fd70b9417970c5,,0x74cae0ecc47b02ed9b9d32e000fd70b9417970c5,0x1bfaee26abb1082197df144a0d955ad676137eaea4b3b0e6a98f0ca85213149a,175,1,0x7c39d130,,,,,0x6ee6083d970456c454eecbc1b340104260d5b125238b3fbabaf4c661b16db092,176,0,0x7c39d130,19219297612068,0.000019219297612068,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x1bfaee26abb1082197df144a0d955ad676137eaea4b3b0e6a98f0ca85213149a,,https://etherscan.io/tx/0x6ee6083d970456c454eecbc1b340104260d5b125238b3fbabaf4c661b16db092
semantic__insertion__60,2,60,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x9d65b1c5fd546296bbda4fcc798ce75dc89f2809fb2a27bc6c5ca5528809030f,4,1,0x2b664356,0xc3cc5b5bb4887ed69068aa31e4135ff9cd86187ce64a1078658bbe63eca11e21,6,1,0x2b784356,0xfae86ff9b3c371656e9cfa721eba1ce38ee22a2832122e23cb582d54f6ba7108,5,1,0x0d5f0e3b,620838044620176,0.000620838044620176,142,8,"{""0x4c9edd5852cd905f086c759e8383e09bff1e68b3"":1264879232750013,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1783793}",,,,,requires_token_valuation,https://etherscan.io/tx/0x9d65b1c5fd546296bbda4fcc798ce75dc89f2809fb2a27bc6c5ca5528809030f,https://etherscan.io/tx/0xc3cc5b5bb4887ed69068aa31e4135ff9cd86187ce64a1078658bbe63eca11e21,https://etherscan.io/tx/0xfae86ff9b3c371656e9cfa721eba1ce38ee22a2832122e23cb582d54f6ba7108
semantic__insertion__274,2,274,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x465e56cd21ad47d4d4790f17de5e0458f20c3719,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x5683de2b80302c94610b418063406685d4be9ba8aaca9d96090adba49d402472,69,1,0x2b60465e,0xb91cd738d5970762459d25e52ee0679218bb9c7c87f216091d766a68cb115971,71,1,0x2b78465e,0xce029a2ec1815ba423a63ab06b4bdd65561c61accf303711e3534f6c77eb6c3e,70,1,0x07ed2379,45810405273216,0.000045810405273216,62,8,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":48221479358816,""0xd1d2eb1b1e90b638588728b4130137d262c87cae"":285}",48221479358816,0.000048221479358816,2411074085600,0.000002411074085600,mixed_assets_requires_valuation,https://etherscan.io/tx/0x5683de2b80302c94610b418063406685d4be9ba8aaca9d96090adba49d402472,https://etherscan.io/tx/0xb91cd738d5970762459d25e52ee0679218bb9c7c87f216091d766a68cb115971,https://etherscan.io/tx/0xce029a2ec1815ba423a63ab06b4bdd65561c61accf303711e3534f6c77eb6c3e
semantic__insertion__350,2,350,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xbf85f94d3233ee588f0907a9147fbb59d7246b54,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x95264d6dddd88eb1e41dd11cd90fcb531f77640e8ee13d244883288985d4aa43,22,1,0x2b60bf85,0xdd219e4886abbe5553480befe60a74b8f82a779352438358b2d6f9c1fb870f37,24,1,0x2b66bf85,0x4262c3f5f31e4a7bfa3c88b11f67f533970f068f49daca68e17c99cf5c194f7d,23,1,0x04e45aaf,85359269163342,0.000085359269163342,270,7,"{""0xa0ef786bf476fe0810408caba05e536ac800ff86"":7906543636328254,""0xae78736cd615f374d3085123a210448e74fc6393"":54618813,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-11382419282198527}",-11382419282198527,-0.011382419282198526,-11467778551361869,-0.011467778551361869,mixed_assets_requires_valuation,https://etherscan.io/tx/0x95264d6dddd88eb1e41dd11cd90fcb531f77640e8ee13d244883288985d4aa43,https://etherscan.io/tx/0xdd219e4886abbe5553480befe60a74b8f82a779352438358b2d6f9c1fb870f37,https://etherscan.io/tx/0x4262c3f5f31e4a7bfa3c88b11f67f533970f068f49daca68e17c99cf5c194f7d
semantic__insertion__441,2,441,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xe11ee9c18d03b43d6a7fc53e51aedda8451e837a,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x8b331aa67966e78d690b9d3b4368049ba6f96ee1b6040740f4bb5389ecb92851,4,1,0x2b60e11e,0x2ef8152ea4ea5acaa7c4b34d33769935528d3bddbf528bcb5041519ebc990dca,6,1,0x2b66e11e,0xa81d87965a5a47e963fbc2a4eb394b71acb9ca6f02c802f69e2d1c1503618a2c,5,1,0x07ed2379,703300253036370,0.000703300253036370,414,18,"{""0x199fe9826a45dbea191498f23f791c18c67b94e3"":0,""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"":3,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":102765,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-96525920548967930,""0xd8912c10681d8b21fd3742244f44658dba12264e"":3199427697469,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1}",-96525920548967930,-0.096525920548967928,-97229220802004300,-0.097229220802004301,mixed_assets_requires_valuation,https://etherscan.io/tx/0x8b331aa67966e78d690b9d3b4368049ba6f96ee1b6040740f4bb5389ecb92851,https://etherscan.io/tx/0x2ef8152ea4ea5acaa7c4b34d33769935528d3bddbf528bcb5041519ebc990dca,https://etherscan.io/tx/0xa81d87965a5a47e963fbc2a4eb394b71acb9ca6f02c802f69e2d1c1503618a2c
semantic__insertion__565,2,565,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xb6d629cb247333dd5e273b75741c55dfeca6f6e9,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6d196fae886337f13d9b6c1d167074f41866150f50678ee01fa0f3ac09a72838,13,1,0x2b60b6d6,0x17e19036ae9ecbf987fafebf5ef159098656071fec1696a1e67a9ce3f8f64242,15,1,0x2b78b6d6,0xe1eb2e2b7827a326860bddfe3b93c6bccc011b946812bb1117448c79b0eb2f3c,14,1,0x1b1a494e,143660837114589,0.000143660837114589,366,8,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":453774,""0xf442ff10b8def89514560a66c0ad28777094636a"":1}",,,,,requires_token_valuation,https://etherscan.io/tx/0x6d196fae886337f13d9b6c1d167074f41866150f50678ee01fa0f3ac09a72838,https://etherscan.io/tx/0x17e19036ae9ecbf987fafebf5ef159098656071fec1696a1e67a9ce3f8f64242,https://etherscan.io/tx/0xe1eb2e2b7827a326860bddfe3b93c6bccc011b946812bb1117448c79b0eb2f3c
semantic__insertion__655,2,655,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xbf85f94d3233ee588f0907a9147fbb59d7246b54,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x8051c547e86b084d9194a57ba71e0f8fa520e91fd1799c01568449947129f3a6,0,1,0x2b66bf85,0x87548ac7b4abb84513fa8afeaba6ba7245414a83c21e59bb96e8ae006f7183e7,2,1,0x2b78bf85,0x9f0c253d9231a6bb6d2033259b23976135b7ccf5f3e725678a73d554bff37109,1,1,0x0d5f0e3b,5368478221759196,0.005368478221759196,494,14,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":17536,""0xa0ef786bf476fe0810408caba05e536ac800ff86"":1737800263922399,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":32470977755306114,""0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c"":1}",32470977755306114,0.032470977755306114,27102499533546918,0.027102499533546917,mixed_assets_requires_valuation,https://etherscan.io/tx/0x8051c547e86b084d9194a57ba71e0f8fa520e91fd1799c01568449947129f3a6,https://etherscan.io/tx/0x87548ac7b4abb84513fa8afeaba6ba7245414a83c21e59bb96e8ae006f7183e7,https://etherscan.io/tx/0x9f0c253d9231a6bb6d2033259b23976135b7ccf5f3e725678a73d554bff37109
semantic__insertion__772,2,772,independent_sampled__estresse_fusaka_2025,estresse_fusaka_2025,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0xac8ba9d6fa2f9ff7c712bef5670cb0f7e4177965,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x2388e31b461565cbf1ab03d9c811717416cf72ed0cb816fae543251148f13c9d,17,1,0x2b60ac8b,0x478a6066c8fbe544c0c8b11006979ddae86c71120f5799a0c24b8c6863df6112,19,1,0x2b66ac8b,0xc2f536733d942d00d31581ca781c82040c9f3a661167feb49062bc75e4109ada,18,1,0x04e45aaf,432541659858561,0.000432541659858561,70,4,"{""0x2d8ea194902bc55431420bd26be92b0782dce91d"":58075596163440,""0xdac17f958d2ee523a2206206994597c13d831ec7"":2505571}",,,,,requires_token_valuation,https://etherscan.io/tx/0x2388e31b461565cbf1ab03d9c811717416cf72ed0cb816fae543251148f13c9d,https://etherscan.io/tx/0x478a6066c8fbe544c0c8b11006979ddae86c71120f5799a0c24b8c6863df6112,https://etherscan.io/tx/0xc2f536733d942d00d31581ca781c82040c9f3a661167feb49062bc75e4109ada
