audit_id,detection_event_id,split,detector,semantic_status,manual_label,manual_type,evidence_quality,reason_codes,notes,reviewer,reviewed_at_utc
semantic__insertion__8,8,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 8: índices 50 < 51 < 52, mesmo agente nas pernas externas, pool 0xc09bf2b1bc8725903c509e8caeef9190857215a8 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.001377015 WETH após 0.001782711 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__insertion__17,17,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 17: índices 4 < 5 < 6, mesmo agente nas pernas externas, pool 0x28d509116226d00b343a34fb733cc74be908ebb2 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__insertion__70,70,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 70: índices 1 < 2 < 3, mesmo agente nas pernas externas, pool 0x2fba756c64d4f9dbb17f1b3a1afb5f05af7f18c0 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__displacement__84,84,estresse_pre_dencun_2024,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 84: atacante no índice 14 antes da vítima no índice 15, mesmo seletor, similaridade de calldata 0.812 e pool comum 0xcd48f36b6370e4e2259e697b65a2c414a07f2230. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__insertion__150,150,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 150: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xa9966025816c490dffe18b5c58818ec14e0ce5da (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__insertion__159,159,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 159: índices 6 < 7 < 8, mesmo agente nas pernas externas, pool 0x469506e58d4d0d7abb476dd5c0a999d46723351f (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__displacement__166,166,estresse_pre_dencun_2024,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 166: atacante no índice 7 antes da vítima no índice 8, mesmo seletor, similaridade de calldata 0.917 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__displacement__167,167,estresse_pre_dencun_2024,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 167: atacante no índice 8 antes da vítima no índice 9, mesmo seletor, similaridade de calldata 0.958 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__displacement__168,168,estresse_pre_dencun_2024,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 168: atacante no índice 9 antes da vítima no índice 10, mesmo seletor, similaridade de calldata 0.917 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
semantic__insertion__177,177,estresse_pre_dencun_2024,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|dados_insuficientes,"Sandwich confirmado no evento 177: índices 9 < 10 < 11, mesmo agente nas pernas externas, pool 0x4d52f033b7a667c3db46fa358d07f768010dabfd (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. O ativo de resultado não é WETH e ainda exige valoração histórica. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00
