audit_id,detection_event_id,split,detector,semantic_status,manual_label,manual_type,evidence_quality,reason_codes,notes,reviewer,reviewed_at_utc
semantic__insertion__13,13,validacao_2025_pre_pectra,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|dados_insuficientes,"Sandwich confirmado no evento 13: índices 94 < 95 < 96, mesmo agente nas pernas externas, pool 0x7d4e22a6abbfe86f730b179d2b934c0981712f45 (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. O ativo de resultado não é WETH e ainda exige valoração histórica. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__insertion__25,25,validacao_2025_pre_pectra,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 25: índices 1 < 2 < 3, mesmo agente nas pernas externas, pool 0xfff8d5fff6ee3226fa2f5d7d5d8c3ff785be9c74 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__52,52,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 52: atacante no índice 5 antes da vítima no índice 6, mesmo seletor, similaridade de calldata 0.857 e pool comum 0xa467d392b140f0552cdfb5dfa6143c35402f5a1b. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__insertion__91,91,validacao_2025_pre_pectra,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 91: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xe0554a476a092703abdb3ef35c80e0d76d32939f (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__123,123,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 123: atacante no índice 3 antes da vítima no índice 4, mesmo seletor, similaridade de calldata 0.875 e pool comum 0xd2a5f2cf3285a5afb6a343a350524abe1ad26043. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__164,164,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 164: atacante no índice 0 antes da vítima no índice 1, mesmo seletor, similaridade de calldata 0.857 e pool comum 0x034eed079f47da364b4e6d976693b0047f27e6e1. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__insertion__171,171,validacao_2025_pre_pectra,insertion,confirmed,confirmado,insertion,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 171: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0x034eed079f47da364b4e6d976693b0047f27e6e1 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__300,300,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 300: atacante no índice 4 antes da vítima no índice 5, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xa88ff2ee1d60bdafcce89b5407cb2b77ae1ce14b. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__303,303,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 303: atacante no índice 6 antes da vítima no índice 7, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xa88ff2ee1d60bdafcce89b5407cb2b77ae1ce14b. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
semantic__displacement__426,426,validacao_2025_pre_pectra,displacement,probable,provável,displacement,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 426: atacante no índice 1 antes da vítima no índice 2, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x0f3a7d10fa0a92b46b4c575048c64264ef051260. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:05.339834+00:00
