split,policy,attack_scope,configuration,method,model,threshold,rows,positives,contextual_negatives,tn,fp,fn,tp,precision,recall_sensitivity,specificity,npv,f1,balanced_accuracy,mcc,false_positive_rate,predicted_positive_rate
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,q990,413,268,145,142,3,254,14,0.8235294117647058,0.05223880597014925,0.9793103448275862,0.35858585858585856,0.09824561403508772,0.5157745753988677,0.07579961825009622,0.020689655172413834,0.04116222760290557
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,q995,413,268,145,145,0,267,1,1.0,0.0037313432835820895,1.0,0.35194174757281554,0.007434944237918215,0.5018656716417911,0.036238315027301814,0.0,0.002421307506053269
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,q999,413,268,145,145,0,268,0,0.0,0.0,1.0,0.35108958837772397,0.0,0.5,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,q990,371,247,124,124,0,233,14,1.0,0.05668016194331984,1.0,0.3473389355742297,0.10727969348659003,0.52834008097166,0.14031117958868308,0.0,0.03773584905660377
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,q995,371,247,124,124,0,246,1,1.0,0.004048582995951417,1.0,0.33513513513513515,0.00806451612903226,0.5020242914979757,0.036835070373951895,0.0,0.0026954177897574125
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,q999,371,247,124,124,0,247,0,0.0,0.0,1.0,0.33423180592991913,0.0,0.5,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,q990,42,21,21,18,3,21,0,0.0,0.0,0.8571428571428571,0.46153846153846156,0.0,0.42857142857142855,-0.2773500981126146,0.1428571428571429,0.07142857142857142
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,q995,42,21,21,21,0,21,0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,q999,42,21,21,21,0,21,0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,q990,1101,612,489,483,6,593,19,0.76,0.03104575163398693,0.9877300613496932,0.44888475836431224,0.059654631083202514,0.5093879064918401,0.0626257228157053,0.012269938650306789,0.022706630336058128
