audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__2370,1,2370,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x4a7e0a9e2c628494395a4ea04d9222114f20b00b,,0x4a7e0a9e2c628494395a4ea04d9222114f20b00b,0x60b935f7d5ab4c1e399efad7bc2a913333404471842187a2396a04382d645ccc,48,1,0x0162e2d0,,,,,0x01d8fbc43b27342373d95487abeaa8b835c41ee0ea8027cce00de7a2a538cb5c,49,0,0x0162e2d0,3845010370265744,0.003845010370265744,381000000000000000,1,"{""0x0353e9f2e8783135f2b71063c66ff62345d95e53"":6569146764655686692}",,,,,requires_token_valuation,https://etherscan.io/tx/0x60b935f7d5ab4c1e399efad7bc2a913333404471842187a2396a04382d645ccc,,https://etherscan.io/tx/0x01d8fbc43b27342373d95487abeaa8b835c41ee0ea8027cce00de7a2a538cb5c
semantic__insertion__38,2,38,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,0,1,0x2b6088e6,0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,2,1,0x2b6688e6,0x0ea1ecaff7224a07af181d9a65d7e904ebdbbc33ce7bd0ea09ae979219fb6013,1,1,0x12aa3caf,275190357639098512,0.275190357639098493,312,8,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":855602285,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":4632201656152,""0xdac17f958d2ee523a2206206994597c13d831ec7"":256655361}",4632201656152,0.000004632201656152,-275185725437442360,-0.275185725437442352,mixed_assets_requires_valuation,https://etherscan.io/tx/0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,https://etherscan.io/tx/0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,https://etherscan.io/tx/0x0ea1ecaff7224a07af181d9a65d7e904ebdbbc33ce7bd0ea09ae979219fb6013
semantic__insertion__46,2,46,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x3b1ac05b1e4778906ba60c1fd3356038512886e9,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x09e92dc70288525146750356fdef038351b394c4712ba442c731c80f9d2b17fc,0,1,0x2b603b1a,0x0db1a1a40bc84971eb75cd4d9627bb95329cb54709913ed994a1205143caa50d,2,1,0x2b663b1a,0x18a6524fb1da25a86cfd2e0308c6168228203707f0b7a8339fdde687e7c8b707,1,1,0x5f575529,23228601825264458,0.023228601825264459,264,4,"{""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":93913506,""0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b"":1099511627777}",,,,,requires_token_valuation,https://etherscan.io/tx/0x09e92dc70288525146750356fdef038351b394c4712ba442c731c80f9d2b17fc,https://etherscan.io/tx/0x0db1a1a40bc84971eb75cd4d9627bb95329cb54709913ed994a1205143caa50d,https://etherscan.io/tx/0x18a6524fb1da25a86cfd2e0308c6168228203707f0b7a8339fdde687e7c8b707
semantic__insertion__165,2,165,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,0,1,0x2b6011b8,0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,2,1,0x2b7811b8,0x0aa470bae009916cdf1156ef13d4ec2e4a315ea1cfd9ee01e5d28af2f0b19a07,1,1,0x4db9dc97,73439679594516970,0.073439679594516971,224,8,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":73446942340805074,""0xdac17f958d2ee523a2206206994597c13d831ec7"":326}",73446942340805074,0.073446942340805080,7262746288104,0.000007262746288104,mixed_assets_requires_valuation,https://etherscan.io/tx/0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,https://etherscan.io/tx/0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,https://etherscan.io/tx/0x0aa470bae009916cdf1156ef13d4ec2e4a315ea1cfd9ee01e5d28af2f0b19a07
semantic__insertion__341,2,341,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x77ac18058e0f86e7e762202bf9a414e7d77f5bb5,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x31a6d48126512c0a065f90b2f019d4b8be7e18386d35d4956eb02ebef7e27fa4,1,1,0x2b6077ac,0x3007a5d658da7642ff67a6ef5fde799ca04a56ddbc3219302c2b4dabe7d066bb,3,1,0x2b6677ac,0xfc4786e78e1099fe4da53f1b8defd2e1d34fa36bb1b7a2028339941efe69c604,2,1,0xa94e78ef,12204292551381714,0.012204292551381715,96,4,"{""0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc"":305095076611261,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":49488980}",,,,,requires_token_valuation,https://etherscan.io/tx/0x31a6d48126512c0a065f90b2f019d4b8be7e18386d35d4956eb02ebef7e27fa4,https://etherscan.io/tx/0x3007a5d658da7642ff67a6ef5fde799ca04a56ddbc3219302c2b4dabe7d066bb,https://etherscan.io/tx/0xfc4786e78e1099fe4da53f1b8defd2e1d34fa36bb1b7a2028339941efe69c604
semantic__insertion__346,2,346,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x795a8c981b2d93c21434627f27d990a929ee4dfc,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x86a75ea9daf687e5b990114b0fc7872753f95a6d391553fd1158c403aa02e7fb,70,1,0x2b66795a,0xcec82f320476bffd9b9cef518346d6e76afbaf814149efa832b64e838f253fc7,72,1,0x2b60795a,0x0785075e39242058f303e7f0896a6e0a0d7f3f7130a4290449079258d40b48e7,71,1,0x3593564c,11073907030796782,0.011073907030796783,384,4,"{""0x0001a500a6b18995b03f44bb040a5ffc28e45cb0"":3778883378213,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":40699515}",,,,,requires_token_valuation,https://etherscan.io/tx/0x86a75ea9daf687e5b990114b0fc7872753f95a6d391553fd1158c403aa02e7fb,https://etherscan.io/tx/0xcec82f320476bffd9b9cef518346d6e76afbaf814149efa832b64e838f253fc7,https://etherscan.io/tx/0x0785075e39242058f303e7f0896a6e0a0d7f3f7130a4290449079258d40b48e7
semantic__insertion__424,2,424,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x98409d8ca9629fbe01ab1b914ebf304175e384c8,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0xff50ec43b54f4c0b2aec0364b6960bdddae997d04bd38518b70bf8a7b6e3beff,0,1,0x2b609840,0xd901b8d744dd2ff57e6c209b4853d420f893f4390c2f8813ab437019b0ec0c31,2,1,0x2b789840,0x1ec0f5d5767fe4f4374c64c17701e203702c584279d753359f74d13484ad527c,1,1,0x3593564c,28930689172884087,0.028930689172884088,288,8,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":28933582531270230,""0xf411903cbc70a74d22900a5de66a2dda66507255"":418512298027118}",28933582531270230,0.028933582531270229,2893358386143,0.000002893358386143,mixed_assets_requires_valuation,https://etherscan.io/tx/0xff50ec43b54f4c0b2aec0364b6960bdddae997d04bd38518b70bf8a7b6e3beff,https://etherscan.io/tx/0xd901b8d744dd2ff57e6c209b4853d420f893f4390c2f8813ab437019b0ec0c31,https://etherscan.io/tx/0x1ec0f5d5767fe4f4374c64c17701e203702c584279d753359f74d13484ad527c
semantic__insertion__458,2,458,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x31c0ba10e4e12be6cdceb612e5e829d977532bfc,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x68bb5c8cb78446b6ec2685afc782c4bb855e238878e67d4b1045bc5256008da8,5,1,0x2b6631c0,0x1d5a09358a6018e6ec6d28b05068025a8563cda7982a0948b2ff8f0b3bfebf68,7,1,0x2b7831c0,0xb9fd00350a927c78162cc635be9955ab9968771f40336bd8d7eb5018d45760dc,6,1,0x3593564c,22081813488861066,0.022081813488861065,368,8,"{""0x427a03fb96d9a94a6727fbcfbba143444090dd64"":920149684102260,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":23011477166417844}",23011477166417844,0.023011477166417844,929663677556778,0.000929663677556778,mixed_assets_requires_valuation,https://etherscan.io/tx/0x68bb5c8cb78446b6ec2685afc782c4bb855e238878e67d4b1045bc5256008da8,https://etherscan.io/tx/0x1d5a09358a6018e6ec6d28b05068025a8563cda7982a0948b2ff8f0b3bfebf68,https://etherscan.io/tx/0xb9fd00350a927c78162cc635be9955ab9968771f40336bd8d7eb5018d45760dc
semantic__insertion__469,2,469,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x80ed1b41476b95fb47830825b65fd3bf59f6a348,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0xf061ef3a469df455a14d1e7fe98acff3a22063ee9209a8e1573f4bb5b00fe61a,12,1,0x2b6680ed,0x8a810d369e3c15de66abca4234ffea6636c27cd8eb9041748cff74b727cac4e3,14,1,0x2b7880ed,0x473aac0d587f76e927efc107adeb31dba3aa95161f570fe3efb16d1fadd0da89,13,1,0x3593564c,17497400818672620,0.017497400818672619,320,8,"{""0x069d89974f4edabde69450f9cf5cf7d8cbd2568d"":17041138253102,""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":18001441171556349}",18001441171556349,0.018001441171556349,504040352883729,0.000504040352883729,mixed_assets_requires_valuation,https://etherscan.io/tx/0xf061ef3a469df455a14d1e7fe98acff3a22063ee9209a8e1573f4bb5b00fe61a,https://etherscan.io/tx/0x8a810d369e3c15de66abca4234ffea6636c27cd8eb9041748cff74b727cac4e3,https://etherscan.io/tx/0x473aac0d587f76e927efc107adeb31dba3aa95161f570fe3efb16d1fadd0da89
semantic__insertion__1023,2,1023,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x14d725edb1299ff560d96f42462f0234b65b00af,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6c10436c7e53322fff0cbe4bb24493bb94f3f5d39cffa4f7aed815e622ef2840,1,1,0x2ba614d7,0xaa5361e11253074e1261e8de0bc624837d3671d59af845fe1d2188654720e616,3,1,0x2ba6c45a,0x7495438369b9267f9de4c8408bd834a9c93e398eb3e4a7082beb1b4e3eb35b01,2,1,0x3593564c,11282323650877458,0.011282323650877458,224,4,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":11339018744611107,""0xe2cfd7a01ec63875cd9da6c7c1b7025166c2fa2f"":8786822624771918052}",11339018744611107,0.011339018744611106,56695093733649,0.000056695093733649,mixed_assets_requires_valuation,https://etherscan.io/tx/0x6c10436c7e53322fff0cbe4bb24493bb94f3f5d39cffa4f7aed815e622ef2840,https://etherscan.io/tx/0xaa5361e11253074e1261e8de0bc624837d3671d59af845fe1d2188654720e616,https://etherscan.io/tx/0x7495438369b9267f9de4c8408bd834a9c93e398eb3e4a7082beb1b4e3eb35b01
semantic__insertion__1590,2,1590,independent_sampled__transicao_dencun_2024,transicao_dencun_2024,insertion,confirmed,"Estrutura sandwich confirmada: transações consecutivas, mesmo agente nas pernas externas, mesmo pool, front e vítima na mesma direção e back na direção oposta. O resultado líquido após custos será calculado em etapa própria.",uniswap_v3,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80|0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0xf839b28e47fa592b6d71258f63d71264ba21658f49999bda35bd915283cf6dde,13,1,0x2b669a77,0x1715c07525437527c7c7fd642896a52026be78d8cc38e1450d3d669f13a5c3c6,15,1,0x2b609a77,0x419ebdbd1985dc4ed180138a1570ca53914ca4a4af8e0a89f88fc6c25d4f16b9,14,1,0x07ed2379,13953785912257002,0.013953785912257002,184,4,"{""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"":4,""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"":46724865}",,,,,requires_token_valuation,https://etherscan.io/tx/0xf839b28e47fa592b6d71258f63d71264ba21658f49999bda35bd915283cf6dde,https://etherscan.io/tx/0x1715c07525437527c7c7fd642896a52026be78d8cc38e1450d3d669f13a5c3c6,https://etherscan.io/tx/0x419ebdbd1985dc4ed180138a1570ca53914ca4a4af8e0a89f88fc6c25d4f16b9
