audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__1397,1,1397,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x4a4e392290a382c9d2754e5dca8581ea1893db5d,,0x4a4e392290a382c9d2754e5dca8581ea1893db5d,0x70488840e5a247d96f84d66d3c9e913440b3113f5e3e3d4253c20348cc3a81ca,33,1,0x2e378115,,,,,0x73e2ff07821478aa13bc05f151172bb9ebe67bd9cc84591ddec4ec4cf8b0331f,34,0,0x2e378115,2024151488652832,0.002024151488652832,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-4995084421917540025}",-4995084421917540025,-4.995084421917540318,-4997108573406192857,-4.997108573406192633,no_weth_surplus_after_gas,https://etherscan.io/tx/0x70488840e5a247d96f84d66d3c9e913440b3113f5e3e3d4253c20348cc3a81ca,,https://etherscan.io/tx/0x73e2ff07821478aa13bc05f151172bb9ebe67bd9cc84591ddec4ec4cf8b0331f
semantic__displacement__2398,1,2398,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.971.,,,0x50c9c39b57879502a0da93e340b9c80b5f917aa1,,0x50c9c39b57879502a0da93e340b9c80b5f917aa1,0x4f897f94bdf7053b74da9d693808b03741a2d068e9799a76fbd47d35c7778065,9,1,0xc358547e,,,,,0x680ef5c3e26723681ab35f82e65b677d281ce2023e1a13b3a36e56fa1a506873,10,0,0xc358547e,3177692628170286,0.003177692628170286,499597141136020466,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x4f897f94bdf7053b74da9d693808b03741a2d068e9799a76fbd47d35c7778065,,https://etherscan.io/tx/0x680ef5c3e26723681ab35f82e65b677d281ce2023e1a13b3a36e56fa1a506873
semantic__displacement__2632,1,2632,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x4fa427a9481207e52718fca653dfe06cd5167c27,,0x4fa427a9481207e52718fca653dfe06cd5167c27,0x80a0e40a6501513dcde862c2042f05c366cdc433608ee75a8aafc22142c49e13,18,1,0x4b17256b,,,,,0x32dcf99af40942263521b14f2664b17f88b877aca56d27f41c3c5468228487d7,19,0,0x4b17256b,1105152325116827,0.001105152325116827,0,1,"{""0x6b15602f008a05d9694d777dead2f05586216cb4"":73690575449997399872}",,,,,requires_token_valuation,https://etherscan.io/tx/0x80a0e40a6501513dcde862c2042f05c366cdc433608ee75a8aafc22142c49e13,,https://etherscan.io/tx/0x32dcf99af40942263521b14f2664b17f88b877aca56d27f41c3c5468228487d7
semantic__displacement__4561,1,4561,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,0x84e4a669b5c601853b0b78c6600a901a0b8fb7adaf0bcd30891718929089fccd,259,1,0x8f0d6f17,,,,,0x18b5d19fe8e85c2403d7956f530c8edd173ab6b86e1be442fd826378db8f87cd,260,0,0x8f0d6f17,519234447237588,0.000519234447237588,3660279473131979,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x84e4a669b5c601853b0b78c6600a901a0b8fb7adaf0bcd30891718929089fccd,,https://etherscan.io/tx/0x18b5d19fe8e85c2403d7956f530c8edd173ab6b86e1be442fd826378db8f87cd
semantic__displacement__6352,1,6352,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.857.,,,0x7c470cd56d3f79836d0c6389ca467c8e4175e4ab,,0x7c470cd56d3f79836d0c6389ca467c8e4175e4ab,0xc2881416d85a1061583ab13c7af6e34af3a318d2a19b37030e6c85f53a65661c,29,1,0x0162e2d0,,,,,0x8f15a6305d32a3a2717f0ff0528e65969a212796a985ac880a5f654e0fb81e7e,30,0,0x0162e2d0,4370130508702700,0.004370130508702700,110000000000000000,1,"{""0xf4731e80e073722e4d68e4f62ac764ea852c7e77"":13251405840591866613043040}",,,,,requires_token_valuation,https://etherscan.io/tx/0xc2881416d85a1061583ab13c7af6e34af3a318d2a19b37030e6c85f53a65661c,,https://etherscan.io/tx/0x8f15a6305d32a3a2717f0ff0528e65969a212796a985ac880a5f654e0fb81e7e
semantic__displacement__7997,1,7997,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x9aeb548a55f586758394ad1e37b2c96aadae35fb,,0x9aeb548a55f586758394ad1e37b2c96aadae35fb,0x45defc89fbb50793e7bec2d2f137072beed84128760ff0a98b5590e72d22c1ad,23,1,0x0162e2d0,,,,,0x2478362fc8aa684b2d1ebbc0d61973ce83c8645d827d0b8578ffda690f6ec4c2,24,0,0x0162e2d0,1098004532016747,0.001098004532016747,401110000000000000,1,"{""0x2024e866287ef30ad56bcbe77351947e76fd6041"":3239313000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x45defc89fbb50793e7bec2d2f137072beed84128760ff0a98b5590e72d22c1ad,,https://etherscan.io/tx/0x2478362fc8aa684b2d1ebbc0d61973ce83c8645d827d0b8578ffda690f6ec4c2
semantic__displacement__8219,1,8219,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.917.,,,0x5c5b24b4396e27fdfc2def6e4e6b9b063e65418d,,0x5c5b24b4396e27fdfc2def6e4e6b9b063e65418d,0xe0f4636799a875209fabb77318ee00bfec4bb0d67ac159d5aeca8ef8ef894b81,16,1,0x07ed2379,,,,,0x706094bd8bc3e126e1bf394aa69ce5151dc4f226bf771078aff9353812e4eeec,17,0,0x07ed2379,3823367180938344,0.003823367180938344,0,2,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":-10000000000,""0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097"":6324020959604452469092}",,,,,requires_token_valuation,https://etherscan.io/tx/0xe0f4636799a875209fabb77318ee00bfec4bb0d67ac159d5aeca8ef8ef894b81,,https://etherscan.io/tx/0x706094bd8bc3e126e1bf394aa69ce5151dc4f226bf771078aff9353812e4eeec
semantic__displacement__8627,1,8627,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x686bec83b59f8b23a6129f03550a3aad245a543c,,0x686bec83b59f8b23a6129f03550a3aad245a543c,0xce24238189af49f6e0631d92122da8291791561284297b7aef1f4fdc94c4c182,153,1,0xc9807539,,,,,0x38a307f222303d239c9827df6bd2221454e5495e3877f38f2fa52cc12f90a28b,154,0,0xc9807539,3345641374489313,0.003345641374489313,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0xce24238189af49f6e0631d92122da8291791561284297b7aef1f4fdc94c4c182,,https://etherscan.io/tx/0x38a307f222303d239c9827df6bd2221454e5495e3877f38f2fa52cc12f90a28b
semantic__displacement__8834,1,8834,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x61835fb002eb4b39789b8293c9e48406c9e8af86,,0x61835fb002eb4b39789b8293c9e48406c9e8af86,0x13f0272738acee513899f1c8878b8cab6cfa9c15d696793924976a337c4fb36c,15,1,0x0162e2d0,,,,,0x769f99bd39f74c283d930f7e49f93e56098e1bf99bbec7d3f3fd35cbb1f1f904,16,0,0x0162e2d0,3022402318239204,0.003022402318239204,311110000000000000,1,"{""0xc493f874d79265f983c935f3ba2ac4cd84dcf3aa"":2000000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x13f0272738acee513899f1c8878b8cab6cfa9c15d696793924976a337c4fb36c,,https://etherscan.io/tx/0x769f99bd39f74c283d930f7e49f93e56098e1bf99bbec7d3f3fd35cbb1f1f904
semantic__displacement__10163,1,10163,independent_sampled__treino_2024_pos_dencun,treino_2024_pos_dencun,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x9b3155cf5b93e812160f77af1fc2e6f01059883a,,0x9b3155cf5b93e812160f77af1fc2e6f01059883a,0x8a12d4ff6eb3e79ef007932a69771b0fc94ef779d050209db5188205abe59144,86,1,0x4067cf10,,,,,0x5be5fd59c9738362a8f73b25b2091bab6bce4687b7631a450faa04937e2ce3f7,87,0,0x4067cf10,4220669982065568,0.004220669982065568,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x8a12d4ff6eb3e79ef007932a69771b0fc94ef779d050209db5188205abe59144,,https://etherscan.io/tx/0x5be5fd59c9738362a8f73b25b2091bab6bce4687b7631a450faa04937e2ce3f7
