audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__1397,1397,displacement,confirmado,confirmado,valid,
semantic__displacement__2398,2398,displacement,confirmado,confirmado,valid,
semantic__displacement__2632,2632,displacement,confirmado,confirmado,valid,
semantic__displacement__4561,4561,displacement,confirmado,confirmado,valid,
semantic__displacement__6352,6352,displacement,confirmado,confirmado,valid,
semantic__displacement__7997,7997,displacement,confirmado,confirmado,valid,
semantic__displacement__8219,8219,displacement,confirmado,confirmado,valid,
semantic__displacement__8627,8627,displacement,confirmado,confirmado,valid,
semantic__displacement__8834,8834,displacement,confirmado,confirmado,valid,
semantic__displacement__10163,10163,displacement,confirmado,confirmado,valid,
semantic__displacement__10280,10280,displacement,confirmado,confirmado,valid,
semantic__displacement__11149,11149,displacement,confirmado,confirmado,valid,
semantic__displacement__12208,12208,displacement,confirmado,confirmado,valid,
semantic__displacement__14129,14129,displacement,confirmado,confirmado,valid,
semantic__displacement__14285,14285,displacement,confirmado,confirmado,valid,
semantic__displacement__15436,15436,displacement,confirmado,confirmado,valid,
semantic__displacement__15900,15900,displacement,confirmado,confirmado,valid,
semantic__displacement__16827,16827,displacement,confirmado,confirmado,valid,
semantic__displacement__17871,17871,displacement,confirmado,confirmado,valid,
semantic__displacement__19556,19556,displacement,confirmado,confirmado,valid,
semantic__displacement__19788,19788,displacement,confirmado,confirmado,valid,
semantic__displacement__20109,20109,displacement,confirmado,confirmado,valid,
semantic__displacement__20148,20148,displacement,confirmado,confirmado,valid,
semantic__displacement__21764,21764,displacement,confirmado,confirmado,valid,
semantic__displacement__21774,21774,displacement,confirmado,confirmado,valid,
semantic__displacement__23725,23725,displacement,confirmado,confirmado,valid,
semantic__displacement__25421,25421,displacement,confirmado,confirmado,valid,
semantic__displacement__27005,27005,displacement,confirmado,confirmado,valid,
semantic__displacement__28228,28228,displacement,confirmado,confirmado,valid,
semantic__displacement__28694,28694,displacement,confirmado,confirmado,valid,
semantic__displacement__29373,29373,displacement,confirmado,confirmado,valid,
semantic__displacement__29528,29528,displacement,confirmado,confirmado,valid,
semantic__displacement__30876,30876,displacement,confirmado,confirmado,valid,
semantic__displacement__30985,30985,displacement,confirmado,confirmado,valid,
semantic__displacement__31158,31158,displacement,confirmado,confirmado,valid,
semantic__displacement__31370,31370,displacement,confirmado,confirmado,valid,
semantic__displacement__32832,32832,displacement,confirmado,confirmado,valid,
semantic__displacement__35733,35733,displacement,confirmado,confirmado,valid,
semantic__displacement__36969,36969,displacement,confirmado,confirmado,valid,
semantic__displacement__37384,37384,displacement,confirmado,confirmado,valid,
semantic__displacement__38006,38006,displacement,confirmado,confirmado,valid,
semantic__insertion__55,55,insertion,confirmado,confirmado,valid,
semantic__insertion__121,121,insertion,confirmado,confirmado,valid,
