audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__2389,1,2389,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x09b96417602ed6ac76651f7a8c4860e60e3aa6d0,,0x09b96417602ed6ac76651f7a8c4860e60e3aa6d0,0xba48bdd021b7ff9cad42eaf97bf27295a5c696daa6b1c4e093ec74a707412297,139,1,0x7c39d130,,,,,0x7eb9facba5142cab1ec3327ca19662290d78806ce52e165a0b52c9f49e91a606,140,0,0x7c39d130,132917564348190,0.000132917564348190,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0xba48bdd021b7ff9cad42eaf97bf27295a5c696daa6b1c4e093ec74a707412297,,https://etherscan.io/tx/0x7eb9facba5142cab1ec3327ca19662290d78806ce52e165a0b52c9f49e91a606
semantic__displacement__2399,1,2399,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,0x2c49538a33404a272cc04c42269d1aa392dc44754976bc6763be054aa2509b7d,226,1,0x8f0d6f17,,,,,0x14d8de8d0e0105520a68a629c009cf1d38271aa6b419ef0399a2ad1c5b4285f4,227,0,0x8f0d6f17,34885240071192,0.000034885240071192,453318307336000,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x2c49538a33404a272cc04c42269d1aa392dc44754976bc6763be054aa2509b7d,,https://etherscan.io/tx/0x14d8de8d0e0105520a68a629c009cf1d38271aa6b419ef0399a2ad1c5b4285f4
semantic__displacement__4109,1,4109,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x2125dd05fff360e2ddf89267cb2f6ce1460c8bb3,,0x2125dd05fff360e2ddf89267cb2f6ce1460c8bb3,0x77296ac68d7e032198458e4096a9b40bd758c06a18bba2701645f700fd55051c,57,1,0x00000000,,,,,0x79fed87f1a8b2b279421c7e81164462adaf27fa0b196d39b565cb472802761c7,58,0,0x00000000,301108858111368,0.000301108858111368,30378000000000000,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x77296ac68d7e032198458e4096a9b40bd758c06a18bba2701645f700fd55051c,,https://etherscan.io/tx/0x79fed87f1a8b2b279421c7e81164462adaf27fa0b196d39b565cb472802761c7
semantic__displacement__4189,1,4189,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xa7d3683e83e4ac4d5376b3cc5a677b665cc0b3f6,,0xa7d3683e83e4ac4d5376b3cc5a677b665cc0b3f6,0x20de15b913cf88bc3084863c9b8c82383706516fe75b8d61cb25d3ba0355b2db,37,1,0x00000000,,,,,0xdda9f26c374f443843854e563f6ea2bc248777b31ed6d15db440dc00a1ce5652,38,0,0x00000000,593194375066800,0.000593194375066800,30300000000000000,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x20de15b913cf88bc3084863c9b8c82383706516fe75b8d61cb25d3ba0355b2db,,https://etherscan.io/tx/0xdda9f26c374f443843854e563f6ea2bc248777b31ed6d15db440dc00a1ce5652
semantic__displacement__5526,1,5526,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xb99b3fcbf2313ff57b8fb6917c4821719eb226d0,,0xb99b3fcbf2313ff57b8fb6917c4821719eb226d0,0x8d8bff771228422748c588c4cad75df7837597afb42ddf3743ba2f90d3ddd634,2,1,0x0162e2d0,,,,,0x1ab74edbbf583488f61b25bed96680b68eefcdfff4e7f792fc73a211d6c31b4e,3,0,0x0162e2d0,506380386520902,0.000506380386520902,922200000000000000,1,"{""0x738c3acec1a7002d7574b73e43319f86603dcfd6"":750000000000000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x8d8bff771228422748c588c4cad75df7837597afb42ddf3743ba2f90d3ddd634,,https://etherscan.io/tx/0x1ab74edbbf583488f61b25bed96680b68eefcdfff4e7f792fc73a211d6c31b4e
semantic__displacement__6248,1,6248,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,,0xdd50676f81f607fd8ba7ed3187ddf172db174cd3,0x6c16c3f93a6f780cd1db0823d1869bfab1b8b4062b02667b6bd4f23ac2662f4d,215,1,0x8f0d6f17,,,,,0x388123920e08db14d7099f08e618505ec753bfb6a901cb14db38c27f9593b34b,216,0,0x8f0d6f17,17138789159400,0.000017138789159400,35098279462731084,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x6c16c3f93a6f780cd1db0823d1869bfab1b8b4062b02667b6bd4f23ac2662f4d,,https://etherscan.io/tx/0x388123920e08db14d7099f08e618505ec753bfb6a901cb14db38c27f9593b34b
semantic__displacement__6291,1,6291,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xdc927bd56cf9dfc2e3779c7e3d6d28da1c219969,,0xdc927bd56cf9dfc2e3779c7e3d6d28da1c219969,0xf5507f35b156d66172a35b534d826f4c7295f1c80f9bb10dc4b85848354afab2,116,1,0x8f0d6f17,,,,,0x06aff558a87b0ccb493ee526768cd40aca426cd25d70734c7fe53d745792b02f,117,0,0x8f0d6f17,20014666380000,0.000020014666380000,6577117511618157,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0xf5507f35b156d66172a35b534d826f4c7295f1c80f9bb10dc4b85848354afab2,,https://etherscan.io/tx/0x06aff558a87b0ccb493ee526768cd40aca426cd25d70734c7fe53d745792b02f
semantic__displacement__6325,1,6325,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x81b9fc08d57f2b61ad9c89b20f6a4d6127197b2e,,0x81b9fc08d57f2b61ad9c89b20f6a4d6127197b2e,0x9f4b96f91fc6517016592bf868efeb65719d0d89b4f227164de8201a327a7a99,9,1,0x9481ab4b,,,,,0xc8ec753e0940c2c41d54f8c915e2136d133de380b92efb6f5117f6d600718009,10,0,0x9481ab4b,376501803599152,0.000376501803599152,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x9f4b96f91fc6517016592bf868efeb65719d0d89b4f227164de8201a327a7a99,,https://etherscan.io/tx/0xc8ec753e0940c2c41d54f8c915e2136d133de380b92efb6f5117f6d600718009
semantic__displacement__7031,1,7031,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0xef1ec136931ab5728b0783fd87d109c9d15d31f1,,0xef1ec136931ab5728b0783fd87d109c9d15d31f1,0x43cb79dfa82000a2f56cc9c1dc40356ac93439c45b498f47e914d7cfb1c39f03,17,1,0xdeff4b24,,,,,0x81744e4ff597161267ee07c6831b86bbca90618a1d9213a43fd217927b97b556,18,0,0xdeff4b24,326987117572192,0.000326987117572192,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-89370374677600292}",-89370374677600292,-0.089370374677600298,-89697361795172484,-0.089697361795172487,no_weth_surplus_after_gas,https://etherscan.io/tx/0x43cb79dfa82000a2f56cc9c1dc40356ac93439c45b498f47e914d7cfb1c39f03,,https://etherscan.io/tx/0x81744e4ff597161267ee07c6831b86bbca90618a1d9213a43fd217927b97b556
semantic__displacement__8233,1,8233,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x74cae0ecc47b02ed9b9d32e000fd70b9417970c5,,0x74cae0ecc47b02ed9b9d32e000fd70b9417970c5,0x5293a6af98726c3f7e7ed1be29760cd44ed95ea60cc1b0620389d2d918e46b3f,401,1,0x7c39d130,,,,,0x6af42ad743b168986f0def0f189707cf3ddd75071c2cb889baaaecc617d30924,402,0,0x7c39d130,1464515712033374,0.001464515712033374,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x5293a6af98726c3f7e7ed1be29760cd44ed95ea60cc1b0620389d2d918e46b3f,,https://etherscan.io/tx/0x6af42ad743b168986f0def0f189707cf3ddd75071c2cb889baaaecc617d30924
semantic__displacement__9052,1,9052,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.938.,,,0xeeaf25ad4f51fe2f57be2f206c9d8a568a618b99,,0xeeaf25ad4f51fe2f57be2f206c9d8a568a618b99,0x5dd8b54f0befff1ea25195ce07bb1c9a94f421eb09bab51db05e3bb088520b60,0,1,0x2e378115,,,,,0x8255d4888963cf367a53dc25c92d899c00503a6bf610096ba6f6dcdacaa42bba,1,0,0x2e378115,74658132625395960,0.074658132625395959,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":-79891599778700116094}",-79891599778700116094,-79.891599778700111756,-79966257911325512054,-79.966257911325513419,no_weth_surplus_after_gas,https://etherscan.io/tx/0x5dd8b54f0befff1ea25195ce07bb1c9a94f421eb09bab51db05e3bb088520b60,,https://etherscan.io/tx/0x8255d4888963cf367a53dc25c92d899c00503a6bf610096ba6f6dcdacaa42bba
semantic__displacement__10070,1,10070,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.878.,,,0xb7fb3cf0ee6dd2ef243a2827c3001a5c1985632e,,0xb7fb3cf0ee6dd2ef243a2827c3001a5c1985632e,0x85bce905ea743638a7a69c8163f565d055cd6b2d9357cdeeca859a0bf52c9266,3,1,0x0b894c86,,,,,0xb46c81090389a1635273d1214cbdbeaa5744c3799f8fe17858e00372595bf1c5,4,0,0x0b894c86,696463370756050,0.000696463370756050,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0x85bce905ea743638a7a69c8163f565d055cd6b2d9357cdeeca859a0bf52c9266,,https://etherscan.io/tx/0xb46c81090389a1635273d1214cbdbeaa5744c3799f8fe17858e00372595bf1c5
semantic__displacement__13067,1,13067,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.857.,,,0x4bdf2c91c58b2751e0542d1af67b7e45a72a0b75,,0x4bdf2c91c58b2751e0542d1af67b7e45a72a0b75,0xd460d6f82f95108fa1ac5170b7d33dc6fd928e5fef987175e7e65899bd103267,76,1,0x0a03d63e,,,,,0xc24cfc0d7263a6d550c87cdb2bca1da6362ff5fbae24cf4b7a58819b4b1ae77a,77,0,0x0a03d63e,331833600654450,0.000331833600654450,0,2,"{""0x61e24ce4efe61eb2efd6ac804445df65f8032955"":-81500000000000000000,""0xdac17f958d2ee523a2206206994597c13d831ec7"":143388971}",,,,,requires_token_valuation,https://etherscan.io/tx/0xd460d6f82f95108fa1ac5170b7d33dc6fd928e5fef987175e7e65899bd103267,,https://etherscan.io/tx/0xc24cfc0d7263a6d550c87cdb2bca1da6362ff5fbae24cf4b7a58819b4b1ae77a
semantic__displacement__13362,1,13362,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0x6613a1d523c97ed71eca42a71b08d39d40a8e3f3,,0x6613a1d523c97ed71eca42a71b08d39d40a8e3f3,0xdba328d6e928b6d20181fede8e634ccad1a3c9ac1580fb824d67329bcc04d10d,14,1,0xb858183f,,,,,0xf2182db774a3f9f1614b81885550e66262da938eea7f920e5c1fca9f0118046b,15,0,0xb858183f,316754993409380,0.000316754993409380,0,1,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":-1000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0xdba328d6e928b6d20181fede8e634ccad1a3c9ac1580fb824d67329bcc04d10d,,https://etherscan.io/tx/0xf2182db774a3f9f1614b81885550e66262da938eea7f920e5c1fca9f0118046b
semantic__displacement__14232,1,14232,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x8e128bf067bc7f0782f510fce12a9416ee802670,,0x8e128bf067bc7f0782f510fce12a9416ee802670,0xa2c66d66d06ada989ecc823409e48d22f91fb3793c0cea0418fdf9b245895c03,3,1,0x0162e2d0,,,,,0x0d4c6824c09988a4dabbe53162d6f08122dc7d0ca8d1be1410be459bd82d6441,4,0,0x0162e2d0,312298228061586,0.000312298228061586,65000000000000000,1,"{""0x9115b060ce85f8e1d350ae5a6b93b48cdfba675d"":2000000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0xa2c66d66d06ada989ecc823409e48d22f91fb3793c0cea0418fdf9b245895c03,,https://etherscan.io/tx/0x0d4c6824c09988a4dabbe53162d6f08122dc7d0ca8d1be1410be459bd82d6441
semantic__displacement__20809,1,20809,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.994.,,,0xd24be5346a00440c6f17da6882fb40441669d858,,0xd24be5346a00440c6f17da6882fb40441669d858,0xfbde6d29fbf0ce7d089e7d9964bb19af7a42759ccab884a0792a9e5dd6b94e67,93,1,0x87201b41,,,,,0x587af5d41c756d87e1925fb65985e26d28a6702d71211cc10ba2eff992d42ad2,94,0,0x87201b41,360823226699244,0.000360823226699244,3700000000000000,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0xfbde6d29fbf0ce7d089e7d9964bb19af7a42759ccab884a0792a9e5dd6b94e67,,https://etherscan.io/tx/0x587af5d41c756d87e1925fb65985e26d28a6702d71211cc10ba2eff992d42ad2
semantic__displacement__21114,1,21114,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.882.,,,0x699ee12a1d97437a4a1e87c71e5d882b3881e2e3,,0x699ee12a1d97437a4a1e87c71e5d882b3881e2e3,0xb5ae4abba072903146099ff0603a8d074e5ecd08a05fbda562148cb20b8283aa,118,1,0xdeff4b24,,,,,0x32220c0e39666b98b96c8382db181be5a16115c427d4c873367d4b6cd2550fcf,119,0,0xdeff4b24,114138485899408,0.000114138485899408,0,1,"{""0xdac17f958d2ee523a2206206994597c13d831ec7"":-11850372}",,,,,requires_token_valuation,https://etherscan.io/tx/0xb5ae4abba072903146099ff0603a8d074e5ecd08a05fbda562148cb20b8283aa,,https://etherscan.io/tx/0x32220c0e39666b98b96c8382db181be5a16115c427d4c873367d4b6cd2550fcf
semantic__displacement__23193,1,23193,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0xe0efcd45e0780d24d8b66fc638112f622fb60eee,,0xe0efcd45e0780d24d8b66fc638112f622fb60eee,0x83fe6841e8850f2f5604c11ec6ac91de4e2fd89a8fc69133458a42e37cf501d5,5,1,0x0162e2d0,,,,,0x5392d8bb8c0a81128b9096514d078e1071e10ef2162e669e9995f9f47ef003be,6,0,0x0162e2d0,251056462541976,0.000251056462541976,105555000000000000,1,"{""0x74514df8b8711b5f02d1f8ea6f917f20bb14a155"":6478626000000000000}",,,,,requires_token_valuation,https://etherscan.io/tx/0x83fe6841e8850f2f5604c11ec6ac91de4e2fd89a8fc69133458a42e37cf501d5,,https://etherscan.io/tx/0x5392d8bb8c0a81128b9096514d078e1071e10ef2162e669e9995f9f47ef003be
semantic__displacement__26293,1,26293,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 1.000.,,,0x7ca4321170ede03dacf21cd2d57945226c93839a,,0x7ca4321170ede03dacf21cd2d57945226c93839a,0xc5973bc82837138d9df9075dbf380efa22b795571b42b2010c54259c6dc33c65,87,1,0xde5e0b9a,,,,,0xaa23bf1ddb97d0cfee004e3d65a89481be635250a026e6b0c7fd7fbfc1c7fa86,88,0,0xde5e0b9a,87188672151312,0.000087188672151312,0,0,{},,,,,insufficient_transfer_visibility,https://etherscan.io/tx/0xc5973bc82837138d9df9075dbf380efa22b795571b42b2010c54259c6dc33c65,,https://etherscan.io/tx/0xaa23bf1ddb97d0cfee004e3d65a89481be635250a026e6b0c7fd7fbfc1c7fa86
semantic__displacement__28904,1,28904,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.875.,,,0x3048bdc7d2735a5eac01dd2a3b438e12a66704c6,,0x3048bdc7d2735a5eac01dd2a3b438e12a66704c6,0x89beb59c7ad5d878d28256f67ad661f6da8e552847f58507c14a185a15a8e886,127,1,0xb80c2f09,,,,,0x8923c5be2044144007f2bfeea7563fe86d4f699373e76dd94011be02c399572d,128,0,0xb80c2f09,41220442039351,0.000041220442039351,0,3,"{""0x01791f726b4103694969820be083196cc7c045ff"":-2200000000000000000000,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1067047055}",,,,,requires_token_valuation,https://etherscan.io/tx/0x89beb59c7ad5d878d28256f67ad661f6da8e552847f58507c14a185a15a8e886,,https://etherscan.io/tx/0x8923c5be2044144007f2bfeea7563fe86d4f699373e76dd94011be02c399572d
semantic__displacement__29935,1,29935,independent_sampled__teste_final_2025,teste_final_2025,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.962.,,,0x9b251e6ba45747be0a51fd43411a4865a0d19974,,0x9b251e6ba45747be0a51fd43411a4865a0d19974,0xc568c386587b15b2710fd997a9fd81f30d8d9b92772ee22eeaf33f23a75fd67d,205,1,0xb80c2f09,,,,,0x90e7cd6f84e18ce03886d995c2e1a93de78352fd161874807fb38249c2736fc8,206,0,0xb80c2f09,48700317773304,0.000048700317773304,0,4,"{""0x01791f726b4103694969820be083196cc7c045ff"":-2000000000000000000000,""0xdac17f958d2ee523a2206206994597c13d831ec7"":1265158571}",,,,,requires_token_valuation,https://etherscan.io/tx/0xc568c386587b15b2710fd997a9fd81f30d8d9b92772ee22eeaf33f23a75fd67d,,https://etherscan.io/tx/0x90e7cd6f84e18ce03886d995c2e1a93de78352fd161874807fb38249c2736fc8
