event_key,audit_id,detection_event_id,split,source_detector,adjudicated_type,semantic_status,decision,evidence_quality,reason_codes,notes,reviewer,reviewed_at_utc,decision_source,validation_result,attacker_front_hash,attacker_back_hash,victim_hash,protocols,pool_addresses,economic_status,strict_positive_event,sensitivity_positive_event
estresse_pre_dencun_2024::semantic__insertion__8,semantic__insertion__8,8,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 8: índices 50 < 51 < 52, mesmo agente nas pernas externas, pool 0xc09bf2b1bc8725903c509e8caeef9190857215a8 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.001377015 WETH após 0.001782711 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x8e0c1f5db3f24fd3a48e18c476321158679241920881a85ef9655d819d568d34,0xdf93766e17be8fc426890f17f36af98032543684f9c5b205237ec352b5a80d39,0xc390ecc26693aab5d4b2082975fb0ccbfd13b6d12c77d1c29145c3bac0eb19fb,uniswap_v2,0xc09bf2b1bc8725903c509e8caeef9190857215a8,weth_surplus_after_gas_observed,1,1
estresse_pre_dencun_2024::semantic__insertion__17,semantic__insertion__17,17,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 17: índices 4 < 5 < 6, mesmo agente nas pernas externas, pool 0x28d509116226d00b343a34fb733cc74be908ebb2 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x06bbed4c755614051bbdcd84423fe6a8cf4ca5562e80687f586d1e4f89e94960,0x8fc95cf4d302c175f399bdb50cb90a42814d6278b3d188ea1300dae4cdaed300,0xc3d4dc12e1645c2e3dc7c1dae74a41d68d53fc5427b33aac14a13ef7258f6313,uniswap_v2,0x28d509116226d00b343a34fb733cc74be908ebb2,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__insertion__70,semantic__insertion__70,70,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 70: índices 1 < 2 < 3, mesmo agente nas pernas externas, pool 0x2fba756c64d4f9dbb17f1b3a1afb5f05af7f18c0 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x94ef96c935efd7284f662ee04ff743a3231b089bfc3109d1c323c963af494678,0xcd74d073463d7bef2e85af3962a801625c61bd1fa3a9390242afd9467d148654,0x2e22a86806057250b57eb75da26e95f4fbe71e501e62d8c07cbfab30b2bd8303,uniswap_v2,0x2fba756c64d4f9dbb17f1b3a1afb5f05af7f18c0,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__displacement__84,semantic__displacement__84,84,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 84: atacante no índice 14 antes da vítima no índice 15, mesmo seletor, similaridade de calldata 0.812 e pool comum 0xcd48f36b6370e4e2259e697b65a2c414a07f2230. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x340c6c0b0eb7a05d03abdc52237aed8cb820c40f58410e6f7981eeb20a4c650d,,0x698490d1dab015ce8f2f47850718b91cebf8ecc4aecfd3768eb9e4ee609c6654,uniswap_v2,0xcd48f36b6370e4e2259e697b65a2c414a07f2230,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__insertion__150,semantic__insertion__150,150,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 150: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xa9966025816c490dffe18b5c58818ec14e0ce5da (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x53753307d3e0601b6085ae020b8c6d3df4e6f05384ec18aaac03435ff0b6a2ae,0x2ca0958b8b5820bc6a8323a67b5c85720cf348ad8b6e3ee1094d38dfffde215b,0xd67cee08c932759e0f0b09e59f6770c81090c630b5c495a5861d36f6fd143ebc,uniswap_v3,0xa9966025816c490dffe18b5c58818ec14e0ce5da,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__insertion__159,semantic__insertion__159,159,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 159: índices 6 < 7 < 8, mesmo agente nas pernas externas, pool 0x469506e58d4d0d7abb476dd5c0a999d46723351f (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x6f0f6f033bf84e67f9c586db17eb8358dd3efabb747e2c4882f76ca330bd908e,0x86ec267f28c647b96e9dd806e75584e78b7de882f55449230ff7a7a44b52cd6d,0x9d266e6df7818c75bd02733f8b2a52f135e42e1c852110bf3ce9f5998650a5ad,uniswap_v2,0x469506e58d4d0d7abb476dd5c0a999d46723351f,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__displacement__166,semantic__displacement__166,166,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 166: atacante no índice 7 antes da vítima no índice 8, mesmo seletor, similaridade de calldata 0.917 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x0ab971921ad3f85bb744876c484e100eb4d6d1e6a7525596dded7285e208e9da,,0xab1ed100dbd65fe572f76169cfec745cfdf9118fede9987626686b7da3f9cafb,uniswap_v3,0x40a8003ea28e518c6e63b1b61ce15623557fed25,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__167,semantic__displacement__167,167,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 167: atacante no índice 8 antes da vítima no índice 9, mesmo seletor, similaridade de calldata 0.958 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xab1ed100dbd65fe572f76169cfec745cfdf9118fede9987626686b7da3f9cafb,,0x8d9bb7e263d8c52b2feeebb912f11de7527205dde90db0903d681befe1874391,uniswap_v3,0x40a8003ea28e518c6e63b1b61ce15623557fed25,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__168,semantic__displacement__168,168,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 168: atacante no índice 9 antes da vítima no índice 10, mesmo seletor, similaridade de calldata 0.917 e pool comum 0x40a8003ea28e518c6e63b1b61ce15623557fed25. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x8d9bb7e263d8c52b2feeebb912f11de7527205dde90db0903d681befe1874391,,0x0ab78b7a862f6bb179e4c471a237c43e3ab2596194755561462c9720faa411b6,uniswap_v3,0x40a8003ea28e518c6e63b1b61ce15623557fed25,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__insertion__177,semantic__insertion__177,177,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|dados_insuficientes,"Sandwich confirmado no evento 177: índices 9 < 10 < 11, mesmo agente nas pernas externas, pool 0x4d52f033b7a667c3db46fa358d07f768010dabfd (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. O ativo de resultado não é WETH e ainda exige valoração histórica. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x36d17f28e8757c88c9c3ed6b9c64287b9e4b09f1bbf92b906ea36ed0084caeba,0x15101a86503b480402db9e6feeb1feb50e393ff3e64bf6f16152559d828da7b9,0x55fe9a1030f5b18baed1fd13fb117e30708d288dbc78659bc62ed9e1031f05ed,uniswap_v2,0x4d52f033b7a667c3db46fa358d07f768010dabfd,requires_token_valuation,1,1
