audit_id,audit_priority,detection_event_id,dataset_id,split,detector,validation_status,semantic_evidence,protocols,pool_addresses,attacker_address,attacker_executor_address,economic_entity_addresses,attacker_front_hash,attacker_front_index,attacker_front_status,attacker_front_selector,attacker_back_hash,attacker_back_index,attacker_back_status,attacker_back_selector,victim_hash,victim_index,victim_status,victim_selector,attacker_gas_cost_wei,attacker_gas_cost_eth,attacker_native_value_out_wei,attacker_transfer_events,attacker_token_deltas_raw_json,weth_delta_wei,weth_delta_eth,weth_after_gas_wei,weth_after_gas_eth,economic_status,front_etherscan_url,back_etherscan_url,victim_etherscan_url
semantic__displacement__2217,1,2217,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x47465718e242a23e9ca4a015931cf5c18887ecb0,,0x47465718e242a23e9ca4a015931cf5c18887ecb0,0x719ce9d5b5fe91c4e1a1c7829b881781a4c0650588dfa8a7449f5e1b660dce06,92,1,0xe449022e,,,,,0xb13ebafffc23c41f603029b8dc5e5153f689c6aa69146f2630276dc0dc15a8c0,93,0,0xe449022e,3834520031014400,0.003834520031014400,900000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":81780327625794189872}",,,,,requires_token_valuation,https://etherscan.io/tx/0x719ce9d5b5fe91c4e1a1c7829b881781a4c0650588dfa8a7449f5e1b660dce06,,https://etherscan.io/tx/0xb13ebafffc23c41f603029b8dc5e5153f689c6aa69146f2630276dc0dc15a8c0
semantic__displacement__2224,1,2224,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0xe2270ddb5c298635cc8911fea1f0ec13eb2ebbb2,,0xe2270ddb5c298635cc8911fea1f0ec13eb2ebbb2,0xdab426352b38e3610cd329aacee1154788b98ed4985cc5f8e6d5be3472f58942,98,1,0xe449022e,,,,,0x6d1753cd8caae1a1e4d9ad8c4f0399b53cf3a59cd3709464f4463862d562531b,99,0,0xe449022e,3834441080404480,0.003834441080404480,900000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":81779408794698160986}",,,,,requires_token_valuation,https://etherscan.io/tx/0xdab426352b38e3610cd329aacee1154788b98ed4985cc5f8e6d5be3472f58942,,https://etherscan.io/tx/0x6d1753cd8caae1a1e4d9ad8c4f0399b53cf3a59cd3709464f4463862d562531b
semantic__displacement__2283,1,2283,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x1461a2c6ab49e1b45ec0bdb54e7d5dac18789d82,,0x1461a2c6ab49e1b45ec0bdb54e7d5dac18789d82,0x6ae7123bbedbcbd06496c4c2f21a246a755b60dcacb3b3d55d21ed1a4036c163,143,1,0xe449022e,,,,,0xd9756d7268da7ba7b66243dc693b3a28c821a97c5ea8cd10d2f0ab7dfc54e580,144,0,0xe449022e,3834493498014336,0.003834493498014336,1000000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":90859847245803265833}",,,,,requires_token_valuation,https://etherscan.io/tx/0x6ae7123bbedbcbd06496c4c2f21a246a755b60dcacb3b3d55d21ed1a4036c163,,https://etherscan.io/tx/0xd9756d7268da7ba7b66243dc693b3a28c821a97c5ea8cd10d2f0ab7dfc54e580
semantic__displacement__2333,1,2333,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x41cdfdb5986547b9714f72ac995d87510035fd8e,,0x41cdfdb5986547b9714f72ac995d87510035fd8e,0xabb6b7d22d8f10d3ce4d04d5ccb2b8542a22c3c26a19fb51791d6136ba38c0ee,186,1,0xe449022e,,,,,0x30050f77e30da34b36595e83dba5e712085bbeecde36772af19f2528ac646cee,187,0,0xe449022e,3833996094810144,0.003833996094810144,900000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":81769974863870739033}",,,,,requires_token_valuation,https://etherscan.io/tx/0xabb6b7d22d8f10d3ce4d04d5ccb2b8542a22c3c26a19fb51791d6136ba38c0ee,,https://etherscan.io/tx/0x30050f77e30da34b36595e83dba5e712085bbeecde36772af19f2528ac646cee
semantic__displacement__2342,1,2342,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0xec043cb3c4ba35fd2d9836c9a93d832e934b2972,,0xec043cb3c4ba35fd2d9836c9a93d832e934b2972,0x34cf1420110387bbff6bf233f4ffec5826aa56f54b859401db978a41f5fceee9,192,1,0xe449022e,,,,,0x66bf9d60b98451e5b85da9d82b41bdd363ba6276358d71815e9b33e805f1401d,193,0,0xe449022e,3833602458295734,0.003833602458295734,900000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":81769549143021423775}",,,,,requires_token_valuation,https://etherscan.io/tx/0x34cf1420110387bbff6bf233f4ffec5826aa56f54b859401db978a41f5fceee9,,https://etherscan.io/tx/0x66bf9d60b98451e5b85da9d82b41bdd363ba6276358d71815e9b33e805f1401d
semantic__displacement__2365,1,2365,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x7ddb762e9167379f5ca0885e3868b2bb724da6a3,,0x7ddb762e9167379f5ca0885e3868b2bb724da6a3,0xebad56489feff6f873e0f85dfbf6aad0520698a8fc071af34b23030d31c89b59,213,1,0xe449022e,,,,,0x727a27d108a5d294246b2cd9cabe6ab700e94e70b1c79a77ac2fd02fb5e04372,214,0,0xe449022e,3832663339385790,0.003832663339385790,1000000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":90852552621223197047}",,,,,requires_token_valuation,https://etherscan.io/tx/0xebad56489feff6f873e0f85dfbf6aad0520698a8fc071af34b23030d31c89b59,,https://etherscan.io/tx/0x727a27d108a5d294246b2cd9cabe6ab700e94e70b1c79a77ac2fd02fb5e04372
semantic__displacement__2390,1,2390,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x7513e6c071509f34d5cbeca8ebf9c11f4a55a7a6,,0x7513e6c071509f34d5cbeca8ebf9c11f4a55a7a6,0xb318663789704d6cfdc076195d5c312f1682ce2641c571c3fd7d313c55261288,236,1,0xe449022e,,,,,0x2162cd7e961f0e6d5491672c8d167d8868c4dfcd3bd4b4f1cdd2e45d00ba3277,237,0,0xe449022e,3832084349736552,0.003832084349736552,800000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":72679473018565647944}",,,,,requires_token_valuation,https://etherscan.io/tx/0xb318663789704d6cfdc076195d5c312f1682ce2641c571c3fd7d313c55261288,,https://etherscan.io/tx/0x2162cd7e961f0e6d5491672c8d167d8868c4dfcd3bd4b4f1cdd2e45d00ba3277
semantic__displacement__2398,1,2398,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0xa416b0a35ebda28635553dc5736342ad6b4da512,,0xa416b0a35ebda28635553dc5736342ad6b4da512,0x15bd255056eb14ace115f3f70ec4f52c6336300f314608ff96122e8d10f6783a,240,1,0xe449022e,,,,,0x82e41ccda6d5bef61fbcc0147f5c78ebbde72ca39287e77f2b2c87ee24d54384,241,0,0xe449022e,3832040693461032,0.003832040693461032,800000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":72679114553339046524}",,,,,requires_token_valuation,https://etherscan.io/tx/0x15bd255056eb14ace115f3f70ec4f52c6336300f314608ff96122e8d10f6783a,,https://etherscan.io/tx/0x82e41ccda6d5bef61fbcc0147f5c78ebbde72ca39287e77f2b2c87ee24d54384
semantic__displacement__2428,1,2428,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.800.,,,0x26273bd88859b57a587c08bedd070a73c4d307aa,,0x26273bd88859b57a587c08bedd070a73c4d307aa,0x86eff7ce36435521888a30b4effecca438f62adbb6134d32aaf4bfa68e2468f0,263,1,0xe449022e,,,,,0xa7c31d05b04efa2de7e78e24d84a0311d77411c2a0d2d2e3a7cce7da82740959,264,0,0xe449022e,3923544715412520,0.003923544715412520,800000000000000,1,"{""0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74"":72677003645241104396}",,,,,requires_token_valuation,https://etherscan.io/tx/0x86eff7ce36435521888a30b4effecca438f62adbb6134d32aaf4bfa68e2468f0,,https://etherscan.io/tx/0xa7c31d05b04efa2de7e78e24d84a0311d77411c2a0d2d2e3a7cce7da82740959
semantic__displacement__3206,1,3206,independent_sampled__estresse_pre_dencun_2024,estresse_pre_dencun_2024,displacement,confirmed,Atacante anterior executou com sucesso e a vítima falhou; mesmo seletor e similaridade de calldata 0.915.,,,0x3431175848929ac46db0fd4d072574d6df2a2f7e,,0x3431175848929ac46db0fd4d072574d6df2a2f7e,0x925616687744686048023068c99481a89708eba4695d2c6caf4b3b435fb5fb90,43,1,0xf2d12b12,,,,,0x2107b7798e12cbd43fe811035563e04e81eaa345d4011606b8f6b987174ec598,44,0,0xf2d12b12,3056443586293665,0.003056443586293665,0,1,"{""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"":82875000000000000}",82875000000000000,0.082875000000000004,79818556413706335,0.079818556413706332,weth_surplus_after_gas_observed,https://etherscan.io/tx/0x925616687744686048023068c99481a89708eba4695d2c6caf4b3b435fb5fb90,,https://etherscan.io/tx/0x2107b7798e12cbd43fe811035563e04e81eaa345d4011606b8f6b987174ec598
